,province,model,Score_train,score_test
3,Komandjoari,Lasso,0.9936273092513809,-3.382324691373104
0,Kompienga,RandomForest,0.8447001970491377,-0.04231398234102768
1,Kompienga,DecisionTree,1.0,-0.23535923466476838
2,Kompienga,RidgeCV,0.9242348828064839,0.026447757689528673
3,Kompienga,Lasso,0.9947462441600435,-0.08339662541754822
0,Tapoa,RandomForest,0.8196838918855714,-0.9871095679261463
1,Tapoa,DecisionTree,1.0,-2.4767039118093153
2,Tapoa,RidgeCV,0.8997222935161518,-1.200187895642642
3,Tapoa,Lasso,0.9969835527007015,-0.7874359288730357
0,Houet,RandomForest,0.86603391494043,-0.258473634248916
1,Houet,DecisionTree,1.0,-0.600446782179417
2,Houet,RidgeCV,0.9999716837940099,-1.5184022190522661
3,Houet,Lasso,0.9966824409917285,-1.0846348091627087
0,Kenedougou,RandomForest,0.9064157384721196,-0.019300133947423026
1,Kenedougou,DecisionTree,1.0,-5.940620604867087
2,Kenedougou,RidgeCV,0.8233769775383843,-0.4725534291367055
3,Kenedougou,Lasso,0.9928011662084175,-0.3688315793367545
0,Tuy,RandomForest,0.7437630362417464,-0.6607857018164818
1,Tuy,DecisionTree,1.0,-5.596626357037489
2,Tuy,RidgeCV,0.8416547445378002,0.11704474726769287
3,Tuy,Lasso,0.9984827974708471,-4.072039385112047
0,Loroum,RandomForest,0.7729911009262196,0.019235683082411636
1,Loroum,DecisionTree,1.0,0.10855019773263574
2,Loroum,RidgeCV,0.7734035459027566,0.09960773821315694
3,Loroum,Lasso,0.9963449816276931,-2.795154316465224
0,Passore,RandomForest,0.7968916777569094,-0.17667905525542382
1,Passore,DecisionTree,1.0,-4.948369328777631
2,Passore,RidgeCV,0.8096605040824527,-2.584304745009494
3,Passore,Lasso,0.9948940503064351,-16.440846872216266
0,Yatenga,RandomForest,0.8469988261188258,-0.1681850837838792
1,Yatenga,DecisionTree,1.0,-5.935268912529927
2,Yatenga,RidgeCV,0.7988444125259512,-0.6751696838690722
