,province,model,Score_train,score_test
0,Bale,RandomForest,0.867918925077039,0.49436448323710636
1,Bale,DecisionTree,1.0,-0.02853581271782435
2,Bale,RidgeCV,0.6117544384435971,0.3466102363318697
3,Bale,Lasso,0.9221402048143802,0.16793305709734263
0,Banwa,RandomForest,0.8191344784429555,-0.13325262883674527
1,Banwa,DecisionTree,1.0,-0.12455041341926298
2,Banwa,RidgeCV,0.4462559532873144,-0.27824643440038077
3,Banwa,Lasso,0.9120121029049824,-3.038472076432593
0,Kossi,RandomForest,0.8348657407090843,-0.04767098064178721
1,Kossi,DecisionTree,1.0,-0.06383372597703008
2,Kossi,RidgeCV,0.6265187168626736,0.034050505591246116
3,Kossi,Lasso,0.9498163660784922,-0.5100951228015089
0,Mouhoun,RandomForest,0.81797768098584,-0.13473649146048472
1,Mouhoun,DecisionTree,1.0,0.3106858344365052
2,Mouhoun,RidgeCV,0.4937586212258711,-0.19352082718735475
3,Mouhoun,Lasso,0.950541587376046,0.15689019771481572
0,Nayala,RandomForest,0.8082997075683374,-0.1414813292317081
1,Nayala,DecisionTree,1.0,0.13436382873325525
2,Nayala,RidgeCV,0.9080870629583186,-0.3116368791955053
3,Nayala,Lasso,0.9494848388025209,-0.4367681321756005
0,Sourou,RandomForest,0.9053752012860141,-0.02094013505309733
1,Sourou,DecisionTree,1.0,-0.3238849077104702
2,Sourou,RidgeCV,0.6631764196549441,0.09864659220973981
3,Sourou,Lasso,0.974631206352743,-1.7106856322713244
0,Comoe,RandomForest,0.7951562697409801,-0.8291857977089143
1,Comoe,DecisionTree,1.0,-1.3621441864247794
2,Comoe,RidgeCV,0.5391338176467304,-0.7818998974135858
3,Comoe,Lasso,0.9530134193538168,-1.3684625443455025
0,Leraba,RandomForest,0.8529625933414495,-0.29881383009926976
1,Leraba,DecisionTree,1.0,-1.4329363765240544
2,Leraba,RidgeCV,0.6280470692969202,-0.8080638844935053
3,Leraba,Lasso,0.8323416135662831,-1.3054525976382774
0,Boulgou,RandomForest,0.7992599731995133,-1.506085785747933
1,Boulgou,DecisionTree,1.0,-2.450841702268176
2,Boulgou,RidgeCV,0.1756647379028895,-0.7152642445961774
3,Boulgou,Lasso,0.8689175464853524,-5.1095664914250225
0,Koulpelogo,RandomForest,0.8350475334231726,-0.20111808229160877
1,Koulpelogo,DecisionTree,1.0,-0.7684554700832751
2,Koulpelogo,RidgeCV,0.6181827642495721,-1.8255909352384267
3,Koulpelogo,Lasso,0.8858494651145934,-11.460579409695585
0,Kouritenga,RandomForest,0.8275113374038177,-0.08052436302590804
1,Kouritenga,DecisionTree,1.0,-0.16175786739635134
2,Kouritenga,RidgeCV,0.44449041346654117,0.1620546878560971
3,Kouritenga,Lasso,0.9025626010226896,-0.35603353766825707
0,Bam,RandomForest,0.842211443357738,-1.1969657713990194
1,Bam,DecisionTree,1.0,-0.9105618119565884
2,Bam,RidgeCV,0.5058871287850413,-2.3735326863639012
3,Bam,Lasso,0.9252789954010365,-5.495804893213222
0,Namentenga,RandomForest,0.8580150986308221,-0.9917328459536843
1,Namentenga,DecisionTree,1.0,-3.6183527191212823
2,Namentenga,RidgeCV,0.5587173356938234,-1.2127718879012908
3,Namentenga,Lasso,0.9618360908743021,-15.65058319483908
0,Sanmatenga,RandomForest,0.9139019481038322,-3.2961332630369844
1,Sanmatenga,DecisionTree,1.0,0.8538813169564821
2,Sanmatenga,RidgeCV,0.7701406586044919,-2.347796566991802
3,Sanmatenga,Lasso,0.9555619227751261,-6.015627766012226
0,Boulkiemde,RandomForest,0.8210019168597535,0.5824415181689044
1,Boulkiemde,DecisionTree,1.0,0.004448364779046754
2,Boulkiemde,RidgeCV,0.5706755757772726,0.43359074507017503
3,Boulkiemde,Lasso,0.8830682811714679,0.23320092586594876
