,province,model,Score_train,score_test
3,Bazega,Lasso,0.0,-0.23233989458036008
0,Nahouri,RandomForest,0.9454243051317445,0.582512816172108
1,Nahouri,DecisionTree,1.0,0.27757168652701925
2,Nahouri,RidgeCV,0.9999451236695216,-0.6903921141616249
3,Nahouri,Lasso,0.0,-1.9761763713797844
0,Zoundweogo,RandomForest,0.9697819755220735,0.11286859517848302
1,Zoundweogo,DecisionTree,1.0,0.03517737512180941
2,Zoundweogo,RidgeCV,0.9991071610562083,0.9419076798702354
3,Zoundweogo,Lasso,0.0,-0.5972901192940949
0,Kadiogo,RandomForest,0.9831065458628905,0.6248655925306366
1,Kadiogo,DecisionTree,1.0,-0.08859916892435349
2,Kadiogo,RidgeCV,0.9999438807368782,0.8597668935359384
3,Kadiogo,Lasso,0.0,-0.02698151696780804
0,Gnagna,RandomForest,0.9604886840120193,0.9407106847895575
1,Gnagna,DecisionTree,1.0,0.8679505305748507
2,Gnagna,RidgeCV,0.9999010303965647,0.9016243572309923
3,Gnagna,Lasso,0.0,-0.01856609846465429
0,Gourma,RandomForest,0.9513081297061968,0.7974171418106117
1,Gourma,DecisionTree,1.0,0.8134681045484642
2,Gourma,RidgeCV,0.999891742897603,0.8586571261701694
3,Gourma,Lasso,0.0,-0.04395902587361089
0,Komandjoari,RandomForest,0.9524099569750942,-2.41238258636327
1,Komandjoari,DecisionTree,1.0,-1.3714285615918378
2,Komandjoari,RidgeCV,0.9999152310898188,0.12642637303301363
3,Komandjoari,Lasso,0.0,-0.0014088481745360149
0,Kompienga,RandomForest,0.9409665571557687,0.3684175328827952
1,Kompienga,DecisionTree,1.0,0.34238637673244854
2,Kompienga,RidgeCV,0.9999604416896706,-1.1303258076534966
3,Kompienga,Lasso,0.0,-0.007380647689343878
0,Tapoa,RandomForest,0.9500677823597625,0.881367695626799
1,Tapoa,DecisionTree,1.0,0.43982755282248986
2,Tapoa,RidgeCV,0.9952628908581864,0.6830811589119669
3,Tapoa,Lasso,0.0,-0.019395138926260325
0,Houet,RandomForest,0.9535897944415711,0.9077717293191048
1,Houet,DecisionTree,1.0,0.35113544308168043
2,Houet,RidgeCV,0.9997328248914803,0.8551677295945406
3,Houet,Lasso,0.0,-0.009548657310253006
0,Kenedougou,RandomForest,0.9362381213462021,-0.13600235243631453
1,Kenedougou,DecisionTree,1.0,0.8771521362931035
2,Kenedougou,RidgeCV,0.9997173992349966,0.9822958328041859
3,Kenedougou,Lasso,0.0,-2.8859050420104113
0,Tuy,RandomForest,0.925663280868337,-0.7053330172248793
1,Tuy,DecisionTree,1.0,-3.0833333227380963
2,Tuy,RidgeCV,0.9999677060466416,-6.632959389991299
3,Tuy,Lasso,0.0,-0.0014088481745360149
