,province,model,Score_train,score_test
1,Komandjoari,DecisionTree,1.0,-1.9009223524031187
2,Komandjoari,RidgeCV,0.8860963825789576,-0.8421179821148708
3,Komandjoari,Lasso,0.997636635773225,-18.43667848264089
0,Kompienga,RandomForest,0.8023360100237357,-0.9664614114280046
1,Kompienga,DecisionTree,1.0,-0.8061088054734697
2,Kompienga,RidgeCV,0.8488530445251994,-1.7360177395627168
3,Kompienga,Lasso,0.9892609512878593,-4.388197053592518
0,Tapoa,RandomForest,0.8400103732943911,-0.17746237157966127
1,Tapoa,DecisionTree,1.0,0.2709911064516646
2,Tapoa,RidgeCV,0.8328117266750888,-0.32267710514363035
3,Tapoa,Lasso,0.9856284445956497,-3.471776234020413
0,Houet,RandomForest,0.8066221538497386,-0.5049084595421685
1,Houet,DecisionTree,1.0,-0.7328926977932897
2,Houet,RidgeCV,0.6969167601796391,-2.97405826105154
3,Houet,Lasso,0.9928208729049828,-5.523877372184357
0,Kenedougou,RandomForest,0.8352116623222223,0.4030321414075554
1,Kenedougou,DecisionTree,1.0,0.3856405382127095
2,Kenedougou,RidgeCV,0.9960980619108181,-0.7418600557286161
3,Kenedougou,Lasso,0.990704595645194,-0.4702139593482688
0,Tuy,RandomForest,0.8584938276403493,-7.40562327766283
1,Tuy,DecisionTree,1.0,-11.322688335116736
2,Tuy,RidgeCV,0.8703871805953265,-13.42715357421094
3,Tuy,Lasso,0.9873068974294299,-27.505881214187696
0,Loroum,RandomForest,0.8310488256274237,0.18352760312304517
1,Loroum,DecisionTree,1.0,-0.23445572905842793
2,Loroum,RidgeCV,0.8455512613679222,0.5032828857292114
3,Loroum,Lasso,0.990030328172649,-0.27852800322996396
0,Passore,RandomForest,0.7867769204965791,-3.780432306640755
1,Passore,DecisionTree,1.0,-4.7022459181469625
2,Passore,RidgeCV,0.685763519458932,-3.215459124260545
3,Passore,Lasso,0.988968022198581,-3.3936102253800895
0,Yatenga,RandomForest,0.813590019865872,-0.3230140309591387
1,Yatenga,DecisionTree,1.0,-23.261997501932964
2,Yatenga,RidgeCV,0.8170362820115689,-2.6382765020723453
3,Yatenga,Lasso,0.9957595252055441,-435528.202604364
0,Zondoma,RandomForest,0.8516667833707996,-4.969576617286203
1,Zondoma,DecisionTree,1.0,-20.702877022311515
2,Zondoma,RidgeCV,0.857025532088951,-39.08844886873714
3,Zondoma,Lasso,0.9934969928908948,-4.180372675573976
0,Ganzourgou,RandomForest,0.7886484804651865,-0.817445647471889
1,Ganzourgou,DecisionTree,1.0,-1.0728258210991606
2,Ganzourgou,RidgeCV,0.7790157312875603,0.1436450324824785
3,Ganzourgou,Lasso,0.9862093106337685,-5.137024661126267
0,Kourweogo,RandomForest,0.8528857846884684,-0.09401140164214028
1,Kourweogo,DecisionTree,1.0,-0.001421266364544982
2,Kourweogo,RidgeCV,0.9999607719572298,-1.0353196779489515
3,Kourweogo,Lasso,0.9888231022527942,-0.1479168341352426
0,Oubritenga,RandomForest,0.8703082703530391,0.5779349058486726
1,Oubritenga,DecisionTree,1.0,0.35457032318316695
2,Oubritenga,RidgeCV,0.895293885061845,0.18672668445068186
3,Oubritenga,Lasso,0.9809379830437838,0.1342563472953392
0,Oudalan,RandomForest,0.8290281461488385,-0.05797402727052425
