province,year,driver.TSA,Driver.TNA,sahel_rainfall,QBO,NAO,gmsst,EA,AMM_sst,Driver.NTA,AMO_sst,Driver.AO,PDO,PRCPTOT,R10mm,R1mm,R20mm,R5mm,R95pTOT,R99pTOT,RX1day,RX5day,SDII,CWD,CDD,TNn,TNx,TXx,TXn,Chirts_Tmax_Temp,Chirts_Tmin_Temp,ERA5_Pressure,ERA5_wins,chirps_Prec,ERA5_soil_moisture,NDVI,Mil.rendement
Leraba,2000,0.286666667,-0.076666667,-1.333333333,-1.613333333,0.54,0.626666667,-0.11,-1.9,-0.206666667,0.031,0.425333333,-0.046666667,750.0089811,31,64,10,42,141.5963665,105.5223997,73.23130035,58.70834676,11.71889033,11,6,21.66303822,24.10898136,33.0173559,26.41240888,29.76836859,22.87467402,101246.1941,1.975554077,1132.376428,0.360497668,0.241423916,1045.78
Bale,2014,0.393333333,-0.106666667,133.6666667,-3.213333333,-0.426666667,0.95,-0.063333333,-3.923333333,-0.066666667,-0.024333333,0.309666667,1.25,628.6086769,26,53,7,45,102.0558754,0,58.60321045,38.72092884,11.86054107,8,10,22.14162813,25.42685388,35.04726206,27.58068246,31.07622528,23.84447272,101257.9996,2.295838238,945.0350597,0.368086168,0.170109693,564
Gourma,2000,0.286666667,-0.076666667,-1.333333333,-1.613333333,0.54,0.626666667,-0.11,-1.9,-0.206666667,0.031,0.425333333,-0.046666667,461.9962458,18,45,3,33,69.37590558,38.98079372,70.94539642,38.98079372,10.26658324,5,10,22.7783559,26.15706565,36.42545911,28.36508736,32.13161631,24.30383498,101129.5405,2.700035539,731.2803682,0.309719367,0.151811296,583
Bale,2015,0.4,-0.076666667,-81,-11.51,0.356666667,0.893333333,-0.386666667,-4.62,-0.086666667,-0.013,0.802,1.393333333,804.9404226,37,63,10,47,142.7889721,51.91146973,81.76000214,51.91146973,12.77683211,13,7,22.23353756,25.69786661,36.96146529,27.02703969,31.1910802,23.8167437,101232.5286,2.177429778,1014.163416,0.385744434,0.146146254,896.8
Houet,2000,0.286666667,-0.076666667,-1.333333333,-1.613333333,0.54,0.626666667,-0.11,-1.9,-0.206666667,0.031,0.425333333,-0.046666667,658.8799976,30,57,7,42,83.81181232,44.85436307,87.70534515,44.85436307,11.5592982,9,8,21.37123507,24.00523236,33.13588868,27.1700636,30.02865373,22.67336983,101198.1083,2.212634752,999.7907965,0.371926254,0.196337121,735
Bale,2016,0.473333333,0.363333333,64.66666667,2.29,-0.18,1.206666667,-1.446666667,-0.53,0.296666667,0.296,-0.258333333,2.333333333,654.2563693,28,58,9,40,66.41268351,0,48.87015915,34.36768273,11.28028223,8,9,21.93661154,25.41484724,34.9335202,27.16684845,30.97785891,23.77655299,101234.6144,2.192078611,928.0111138,0.364855005,0.160287417,973.7
Koulpelogo,2000,0.286666667,-0.076666667,-1.333333333,-1.613333333,0.54,0.626666667,-0.11,-1.9,-0.206666667,0.031,0.425333333,-0.046666667,500.4623766,20,45,7,32,66.14733057,0,55.49798965,33.27969815,11.12138615,4,10,22.71484122,25.66623516,34.73977743,28.02388285,31.27540934,23.95011253,101157.343,2.526052885,817.8635951,0.408353585,0.16705905,1021.87
Kadiogo,2000,0.286666667,-0.076666667,-1.333333333,-1.613333333,0.54,0.626666667,-0.11,-1.9,-0.206666667,0.031,0.425333333,-0.046666667,365.6467499,13,47,3,25,0,0,39.87277985,26.45791482,7.779718082,5,8,22.98280136,26.41962319,37.33387911,28.55439954,32.57364313,24.47482352,101134.4514,2.273393908,619.113623,0.333513751,0.122010758,288
Bam,2001,0.403333333,0.116666667,41,-20.67666667,-0.003333333,0.663333333,0.456666667,-1.39,-0.01,0.047,0.447666667,-0.36,419.7107334,19,41,3,29,83.27677307,0,45.04141998,30.63045103,10.23684716,7,6,22.47625656,26.6024695,38.38074904,29.04968091,33.00591715,24.36112917,101146.5124,2.570746949,582.6088,0.223841884,0.084823777,602.6
Kouritenga,2000,0.286666667,-0.076666667,-1.333333333,-1.613333333,0.54,0.626666667,-0.11,-1.9,-0.206666667,0.031,0.425333333,-0.046666667,365.2694423,14,41,2,26,34.70950192,0,53.45663834,34.70950192,8.909010787,8,11,22.69815129,26.1370587,36.29768902,28.83844267,32.23599,24.25893623,101139.5148,2.427297472,606.2456325,0.331602022,0.102485483,468
Bam,2002,0.376666667,-0.113333333,-74.66666667,13.81666667,0.56,0.773333333,0.106666667,-3.733333333,-0.12,-0.058,0.574,-0.433333333,356.5337165,18,37,3,24,57.67818821,0,45.47336578,31.95771656,9.636046391,5,10,22.8147156,27.54053417,38.55875962,28.34020153,33.58730811,24.97066624,101117.2102,2.677907062,523.5770797,0.173430451,0.077121349,732.7
Kenedougou,2000,0.286666667,-0.076666667,-1.333333333,-1.613333333,0.54,0.626666667,-0.11,-1.9,-0.206666667,0.031,0.425333333,-0.046666667,686.5871337,29,58,9,41,121.6855359,49.37736927,68.46691132,49.37736927,11.8377092,9,7,21.57880907,24.10920394,33.03823282,26.65847921,30.00197731,22.73710991,101211.4812,2.118500415,1035.55823,0.372800213,0.216653298,569
Bam,2003,0.296666667,0.093333333,63.66666667,-13.3,-0.013333333,0.736666667,0.416666667,-1.136666667,0.02,0.133,0.245666667,0.916666667,508.0060749,20,56,5,39,49.24394557,0,36.95171738,24.65213614,9.071537051,11,7,23.31228111,27.3749346,38.07118457,29.27645624,32.85447006,25.11516786,101164.8699,2.342587416,687.145782,0.251981146,0.084177886,744.4
Bam,2004,-0.153333333,0.3,1.333333333,11.72666667,0.25,0.64,0.24,1.613333333,0.15,0.085,-0.246333333,0.496666667,381.0486721,17,38,6,22,59.44424177,0,39.65796661,32.18288522,10.02759663,4,8,22.15336748,26.90701341,38.48846828,29.87572326,33.4203478,24.60222484,101138.0127,2.464746865,486.3630519,0.178685856,0.199624007,791
Bam,2005,-0.01,0.913333333,61.66666667,-14.10666667,-0.44,0.81,-0.32,4.65,0.726666667,0.292,-0.397333333,1.353333333,449.9976142,15,45,8,32,85.12248557,0,51.70485687,29.06957624,9.999946983,8,10,22.85438852,27.01518843,38.35899181,28.17473336,33.20089306,24.8370593,101148.1408,2.581071158,600.5208091,0.214626732,-76.99983204,1002.4
Bam,2006,0.32,0.453333333,-22.66666667,8.943333333,0.446666667,0.666666667,-0.953333333,0.733333333,0.316666667,0.267333333,0.455,0.64,409.8566304,17,53,1,33,0,0,36.73230743,21.89086475,7.733143969,8,10,23.13372843,27.43482665,37.7490804,29.28253761,33.35441958,25.15884424,101129.7164,2.56659756,525.1166437,0.193140253,0.194530346,729.7
Bam,2007,0.316666667,0.256666667,-56,-13.52333333,-0.103333333,0.903333333,0.556666667,0.103333333,0.18,0.107,0.294333333,0.05,443.9839122,14,47,5,30,134.6799753,47.2895659,61.50127792,47.2895659,9.446466217,7,10,22.4351634,26.95821172,37.63604934,28.60763059,32.89919482,24.67916908,101111.7018,2.432250606,568.550363,0.213666853,0.234099845,649.8
Nahouri,2000,0.286666667,-0.076666667,-1.333333333,-1.613333333,0.54,0.626666667,-0.11,-1.9,-0.206666667,0.031,0.425333333,-0.046666667,466.7084518,19,49,4,33,0,0,51.64104843,27.55727628,9.524662282,5,11,22.49755823,25.16814208,34.6706925,28.09064176,31.08246485,23.72816349,101178.7608,2.352922098,816.8888312,0.371017887,0.179737543,766
Bam,2008,0.72,0.253333333,70,10.47,-1.316666667,0.626666667,0.13,-1.033333333,0.093333333,0.144666667,-0.583333333,-1.41,483.9101941,24,47,1,39,0,0,31.87728119,20.90328019,10.29596158,4,8,21.79962859,26.36757876,37.83387375,28.44624941,32.85845497,23.99218488,101087.5332,2.529097123,615.4548903,0.201552256,0.209530622,807.6
Bam,2009,0.633333333,-0.163333333,-18.66666667,1.733333333,0.113333333,0.826666667,0.9,-4.306666667,-0.213333333,-0.036,0.272,-0.946666667,532.537242,26,45,6,36,65.92582168,40.68724008,52.72639465,40.68724008,11.83416093,8,8,22.78255115,27.09220082,37.45343032,28.83586066,33.73882733,24.97303188,101150.4911,2.407830798,697.6324431,0.194998525,0.216153071,576
Namentenga,2000,0.286666667,-0.076666667,-1.333333333,-1.613333333,0.54,0.626666667,-0.11,-1.9,-0.206666667,0.031,0.425333333,-0.046666667,337.4746309,11,45,1,24,30.66802805,0,51.13193893,30.66802805,7.499436241,8,8,22.87216681,26.77064698,38.2905307,29.11853157,33.4238184,24.70883441,101079.6596,2.656117092,476.3056618,0.239684454,0.084395529,418
Bam,2010,0.716666667,1.286666667,79.66666667,-24.96666667,-0.926666667,0.97,-1.543333333,5.193333333,1,0.431666667,-0.402333333,0.393333333,484.5647611,18,55,3,37,53.37941048,0,53.98848724,27.55741479,8.810268384,7,7,22.7243309,26.85686295,39.1357415,27.35415205,33.01578668,24.84362164,101088.2411,2.50030839,676.6758428,0.234784705,0.209943198,662.9
Bam,2011,0.33,0.443333333,-34,8.21,0.52,0.76,-0.206666667,0.996666667,0.346666667,0.127666667,0.460666667,-0.493333333,442.1013491,15,53,4,29,72.67519959,72.67519959,52.42842102,36.73793563,8.34153489,6,9,22.3028752,26.36912689,37.75922603,29.60048029,33.55635052,24.133302,101114.3639,2.533112534,604.1400398,0.166147504,0.196024002,570
Oubritenga,2000,0.286666667,-0.076666667,-1.333333333,-1.613333333,0.54,0.626666667,-0.11,-1.9,-0.206666667,0.031,0.425333333,-0.046666667,403.174148,17,45,5,28,56.25774042,0,44.56610107,28.70546107,8.959425511,6,7,23.34538523,26.75219914,38.00684431,28.65680818,33.0275658,24.77142027,101113.8145,2.262416248,608.9786281,0.296777761,0.111823628,455
Bam,2012,-0.11,0.076666667,41,-21.85,-0.89,0.883333333,-0.683333333,-0.533333333,0.016666667,0.168333333,-0.179666667,-0.8,605.682718,29,53,6,39,157.6635451,49.06290416,64.20336151,49.06290416,11.42797581,6,8,22.62811838,26.32130364,37.53990053,28.37657094,32.63628104,24.32508999,101186.9243,2.406494079,767.9101072,0.251027349,0.224776624,942.2
Oudalan,2000,0.286666667,-0.076666667,-1.333333333,-1.613333333,0.54,0.626666667,-0.11,-1.9,-0.206666667,0.031,0.425333333,-0.046666667,264.3367188,9,38,0,24,18.25709435,0,25.25858688,18.25709435,6.956229442,5,13,23.09989859,28.34585836,42.08611179,30.30775142,35.80247408,25.64629689,100985.2438,3.483270318,323.1834042,0.1616565,0.067359582,430
Bam,2013,0.37,0.496666667,-13.66666667,11.47,0.67,0.803333333,-1.586666667,2.066666667,0.41,0.081333333,0.455,-0.286666667,404.7278364,18,46,5,27,110.0016693,33.99255567,42.53879166,33.99255567,8.798431227,7,8,22.82829028,26.51184988,38.12933576,29.11818786,33.14657032,24.46765114,101142.1091,2.548758939,540.3927352,0.205009788,0.198752353,440
Bam,2014,0.393333333,-0.106666667,133.6666667,-3.213333333,-0.426666667,0.95,-0.063333333,-3.923333333,-0.066666667,-0.024333333,0.309666667,1.25,426.9669017,12,49,4,32,29.85084541,0,45.71609116,29.85084541,8.713610238,6,10,21.83021011,26.57710846,38.50698374,28.93356032,33.11878206,24.27205316,101172.8336,2.662332885,612.1390821,0.177871517,0.092966083,610
Passore,2000,0.286666667,-0.076666667,-1.333333333,-1.613333333,0.54,0.626666667,-0.11,-1.9,-0.206666667,0.031,0.425333333,-0.046666667,414.5656502,16,47,4,31,64.76490413,37.35846103,48.9439888,37.35846103,8.820545748,7,8,22.91802018,26.27807355,37.34171002,28.48251708,32.73326757,24.35797459,101116.2622,2.236384957,589.9921429,0.247398692,0.122678157,483
Bam,2015,0.4,-0.076666667,-81,-11.51,0.356666667,0.893333333,-0.386666667,-4.62,-0.086666667,-0.013,0.802,1.393333333,480.225226,18,57,3,37,27.05988208,0,53.62726974,27.05988208,8.425003965,13,7,22.12873031,26.95995083,39.02672043,28.61804372,32.89912512,24.49095346,101174.5209,2.324155967,631.7664728,0.240188502,0.090546336,629.2
Sanmatenga,2000,0.286666667,-0.076666667,-1.333333333,-1.613333333,0.54,0.626666667,-0.11,-1.9,-0.206666667,0.031,0.425333333,-0.046666667,397.1639203,16,44,4,28,64.01666975,33.03892128,52.06305695,33.03892128,9.026452734,6,8,23.00450206,26.76311507,38.4432586,28.89114269,33.40679963,24.6867523,101084.559,2.587951515,532.6552027,0.218843078,0.094326638,367
Bam,2016,0.473333333,0.363333333,64.66666667,2.29,-0.18,1.206666667,-1.446666667,-0.53,0.296666667,0.296,-0.258333333,2.333333333,551.9125687,21,52,6,36,120.7790426,71.76606864,54.65227509,36.78793021,10.61370324,6,8,22.50423479,26.59912028,37.84972754,28.33500419,33.06083081,24.51383698,101167.4346,2.482595622,685.8146564,0.214496427,0.096444571,606.7
Poni,2000,0.286666667,-0.076666667,-1.333333333,-1.613333333,0.54,0.626666667,-0.11,-1.9,-0.206666667,0.031,0.425333333,-0.046666667,582.2413594,27,52,5,40,30.4329861,0,44.06308365,30.45231302,11.19694922,9,13,21.65366939,24.19699044,32.93316146,26.50637589,29.79047026,22.71930956,101221.809,2.265741425,1019.184098,0.376702154,0.237321365,570
Banwa,2001,0.403333333,0.116666667,41,-20.67666667,-0.003333333,0.663333333,0.456666667,-1.39,-0.01,0.047,0.447666667,-0.36,577.260079,25,52,6,36,116.0862032,43.3799227,62.97797394,43.3799227,11.10115537,8,10,22.0017151,25.50935707,34.97960874,27.55213576,31.37043402,23.66630666,101227.7587,2.34418831,807.5349614,0.320421628,0.143750193,859.6
Sanguie,2000,0.286666667,-0.076666667,-1.333333333,-1.613333333,0.54,0.626666667,-0.11,-1.9,-0.206666667,0.031,0.425333333,-0.046666667,450.8357815,18,51,2,34,33.17813611,0,50.02054214,33.17813611,8.839917285,7,8,22.13946683,25.33283144,35.31475094,27.65640452,31.54093113,23.50259558,101143.8632,2.230366843,681.0335191,0.264956557,0.127535941,631
Banwa,2002,0.376666667,-0.113333333,-74.66666667,13.81666667,0.56,0.773333333,0.106666667,-3.733333333,-0.12,-0.058,0.574,-0.433333333,428.4242126,17,45,2,36,0,0,42.43016434,25.47253644,9.520538058,9,11,22.22912133,26.13997349,36.16000999,27.17722871,31.69425526,23.84350218,101201.6107,2.472867972,660.2568746,0.305519508,0.12147787,1069.7
Seno,2000,0.286666667,-0.076666667,-1.333333333,-1.613333333,0.54,0.626666667,-0.11,-1.9,-0.206666667,0.031,0.425333333,-0.046666667,284.2347963,9,41,0,23,0,0,28.46543694,17.99038477,6.932556009,5,9,23.19861357,27.65634933,39.60627511,29.49787059,34.69201836,25.50483083,101029.7754,3.151754782,376.9459004,0.263949254,0.07649068,357
Banwa,2003,0.296666667,0.093333333,63.66666667,-13.3,-0.013333333,0.736666667,0.416666667,-1.136666667,0.02,0.133,0.245666667,0.916666667,650.240922,25,59,10,40,117.0245313,44.56133627,75.91764069,44.56133627,11.02103258,8,9,22.28191737,25.56181765,34.73640792,27.71813379,30.91656542,23.86345461,101233.736,2.125180181,952.7044897,0.342939735,0.140672811,973.2
Banwa,2004,-0.153333333,0.3,1.333333333,11.72666667,0.25,0.64,0.24,1.613333333,0.15,0.085,-0.246333333,0.496666667,469.5910995,19,53,3,36,37.62258661,0,62.39357376,37.62258661,8.860209425,7,10,21.9923623,25.41070557,36.0887805,27.74044847,31.48365889,23.53880396,101215.4843,2.191854709,666.9669236,0.29649993,0.291571328,1290.3
Sissili,2000,0.286666667,-0.076666667,-1.333333333,-1.613333333,0.54,0.626666667,-0.11,-1.9,-0.206666667,0.031,0.425333333,-0.046666667,456.3101087,19,50,4,33,0,0,39.42709732,22.66412094,9.126202175,6,12,22.06180309,24.86981111,34.22388252,27.84486562,30.90451361,23.31880016,101186.0188,2.267120189,801.1011657,0.340587948,0.196265449,720
Banwa,2005,-0.01,0.913333333,61.66666667,-14.10666667,-0.44,0.81,-0.32,4.65,0.726666667,0.292,-0.397333333,1.353333333,515.0778716,19,49,6,36,81.98287963,52.59975247,78.29598236,52.59975247,10.5117933,8,10,22.25696852,25.57519246,35.76448572,27.10951402,31.37978972,23.82016167,101226.6091,2.370092644,706.0359891,0.294763269,0.293709835,952.5
Soum,2000,0.286666667,-0.076666667,-1.333333333,-1.613333333,0.54,0.626666667,-0.11,-1.9,-0.206666667,0.031,0.425333333,-0.046666667,322.4584378,12,41,1,26,43.1975298,0,37.72275162,23.52942153,7.864839945,6,10,22.94204018,27.34451038,39.51425635,29.82622291,34.56731917,24.91504322,101025.2526,3.146621369,395.5419225,0.219460331,0.068139884,319
