province,year,driver.TSA,Driver.TNA,sahel_rainfall,QBO,NAO,gmsst,EA,AMM_sst,Driver.NTA,AMO_sst,Driver.AO,PDO,PRCPTOT,R10mm,R1mm,R20mm,R5mm,R95pTOT,R99pTOT,RX1day,RX5day,SDII,CWD,CDD,TNn,TNx,TXx,TXn,Chirts_Tmax_Temp,Chirts_Tmin_Temp,ERA5_Pressure,ERA5_wins,chirps_Prec,ERA5_soil_moisture,NDVI,sorgho
Leraba,2003,0.296666667,0.093333333,63.66666667,-13.3,-0.013333333,0.736666667,0.416666667,-1.136666667,0.02,0.133,0.245666667,0.916666667,794.9237913,30,55,16,44,216.7086327,43.80659741,60.16687012,43.80659741,14.45315984,11,7,21.72809222,24.36304327,33.30173365,25.82383837,29.76236742,23.06420657,101309.6053,1.946015252,1270.387202,0.384850587,0.253107334,1010.588235
Bale,2010,0.716666667,1.286666667,79.66666667,-24.96666667,-0.926666667,0.97,-1.543333333,5.193333333,1,0.431666667,-0.402333333,0.393333333,736.4399787,29,56,12,40,252.2760287,87.3337221,66.26018524,47.8810259,13.15071391,7,7,21.7034586,25.18339028,36.05871064,25.75348141,30.73752188,23.6711594,101155.6626,2.390870304,1042.837646,0.405579952,0.305577012,1481.827586
Boulgou,2003,0.296666667,0.093333333,63.66666667,-13.3,-0.013333333,0.736666667,0.416666667,-1.136666667,0.02,0.133,0.245666667,0.916666667,666.8662262,29,56,9,38,186.7427684,79.24849181,81.69797516,39.94117719,11.90832547,6,13,23.15840617,26.37670492,35.38821784,27.63554333,31.42226139,24.70849415,101221.6634,2.329173836,941.4484307,0.403713618,0.153090449,1228.888889
Bale,2011,0.33,0.443333333,-34,8.21,0.52,0.76,-0.206666667,0.996666667,0.346666667,0.127666667,0.460666667,-0.493333333,460.4888594,20,46,6,32,34.30766782,0,53.16487122,34.30766782,10.01062738,5,10,22.21673116,25.23096245,35.05274733,26.98569885,31.33819596,23.59608062,101190.4222,2.293079488,773.1773779,0.354834911,0.335993478,1259.435028
Koulpelogo,2003,0.296666667,0.093333333,63.66666667,-13.3,-0.013333333,0.736666667,0.416666667,-1.136666667,0.02,0.133,0.245666667,0.916666667,685.8108895,26,51,12,40,187.5669554,85.28712216,79.74744415,44.72578179,13.44727234,7,8,23.24491302,26.42404445,35.43673565,27.19701306,31.29316236,24.71508607,101225.5723,2.423185452,956.1707651,0.417335312,0.17490422,1035.555556
Bale,2012,-0.11,0.076666667,41,-21.85,-0.89,0.883333333,-0.683333333,-0.533333333,0.016666667,0.168333333,-0.179666667,-0.8,716.296792,27,55,15,43,185.1790623,50.55830754,75.18655396,50.55830754,13.02357804,5,6,22.124525,24.90095326,34.43477764,26.66840987,30.72448617,23.48577013,101256.6687,2.182418277,1019.687273,0.392886634,0.309979434,1278.6264
Kouritenga,2003,0.296666667,0.093333333,63.66666667,-13.3,-0.013333333,0.736666667,0.416666667,-1.136666667,0.02,0.133,0.245666667,0.916666667,556.397303,22,46,6,38,105.9365314,39.16235573,54.15207291,39.16235573,12.09559354,5,9,23.45335798,26.90374813,36.13159764,28.34750371,32.15606748,24.97390377,101211.4638,2.292370091,786.202828,0.347376882,0.099045531,827.168
Bale,2013,0.37,0.496666667,-13.66666667,11.47,0.67,0.803333333,-1.586666667,2.066666667,0.41,0.081333333,0.455,-0.286666667,642.9496509,25,59,10,42,86.36748421,86.36748421,69.48374939,44.71674314,10.89745171,8,9,22.28293898,25.16915579,35.12945661,27.19194461,30.85655739,23.53603993,101216.1603,2.274720666,900.4531976,0.368699816,0.309647714,1459.678671
Bam,2003,0.296666667,0.093333333,63.66666667,-13.3,-0.013333333,0.736666667,0.416666667,-1.136666667,0.02,0.133,0.245666667,0.916666667,508.0060749,20,56,5,39,49.24394557,0,36.95171738,24.65213614,9.071537051,11,7,23.31228111,27.3749346,38.07118457,29.27645624,32.85447006,25.11516786,101164.8699,2.342587416,687.145782,0.251981146,0.084177886,742.8571429
Bale,2014,0.393333333,-0.106666667,133.6666667,-3.213333333,-0.426666667,0.95,-0.063333333,-3.923333333,-0.066666667,-0.024333333,0.309666667,1.25,628.6086769,26,53,7,45,102.0558754,0,58.60321045,38.72092884,11.86054107,8,10,22.14162813,25.42685388,35.04726206,27.58068246,31.07622528,23.84447272,101257.9996,2.295838238,945.0350597,0.368086168,0.170109693,1068
Namentenga,2003,0.296666667,0.093333333,63.66666667,-13.3,-0.013333333,0.736666667,0.416666667,-1.136666667,0.02,0.133,0.245666667,0.916666667,546.6135248,23,52,6,37,84.53352244,31.67646161,47.91298676,31.67646161,10.51179855,10,9,23.54310567,27.3800161,37.82889399,29.66260066,33.03252804,25.24070386,101161.2747,2.480212498,753.4413089,0.272975354,0.079400692,769.1666667
Bale,2015,0.4,-0.076666667,-81,-11.51,0.356666667,0.893333333,-0.386666667,-4.62,-0.086666667,-0.013,0.802,1.393333333,804.9404226,37,63,10,47,142.7889721,51.91146973,81.76000214,51.91146973,12.77683211,13,7,22.23353756,25.69786661,36.96146529,27.02703969,31.1910802,23.8167437,101232.5286,2.177429778,1014.163416,0.385744434,0.146146254,1154.990613
Sanmatenga,2003,0.296666667,0.093333333,63.66666667,-13.3,-0.013333333,0.736666667,0.416666667,-1.136666667,0.02,0.133,0.245666667,0.916666667,539.3562931,27,57,4,37,77.08013204,0,48.14187622,28.10300169,9.462391108,11,7,23.43332991,27.33520281,37.91554148,29.58833753,32.97390261,25.20058637,101165.9752,2.424240208,763.0841799,0.248231577,0.086620966,999.047619
Bale,2016,0.473333333,0.363333333,64.66666667,2.29,-0.18,1.206666667,-1.446666667,-0.53,0.296666667,0.296,-0.258333333,2.333333333,654.2563693,28,58,9,40,66.41268351,0,48.87015915,34.36768273,11.28028223,8,9,21.93661154,25.41484724,34.9335202,27.16684845,30.97785891,23.77655299,101234.6144,2.192078611,928.0111138,0.364855005,0.160287417,1179.381503
Bam,2004,-0.153333333,0.3,1.333333333,11.72666667,0.25,0.64,0.24,1.613333333,0.15,0.085,-0.246333333,0.496666667,381.0486721,17,38,6,22,59.44424177,0,39.65796661,32.18288522,10.02759663,4,8,22.15336748,26.90701341,38.48846828,29.87572326,33.4203478,24.60222484,101138.0127,2.464746865,486.3630519,0.178685856,0.199624007,749.2350741
Bam,2005,-0.01,0.913333333,61.66666667,-14.10666667,-0.44,0.81,-0.32,4.65,0.726666667,0.292,-0.397333333,1.353333333,449.9976142,15,45,8,32,85.12248557,0,51.70485687,29.06957624,9.999946983,8,10,22.85438852,27.01518843,38.35899181,28.17473336,33.20089306,24.8370593,101148.1408,2.581071158,600.5208091,0.214626732,-76.99983204,1360.061333
Bam,2006,0.32,0.453333333,-22.66666667,8.943333333,0.446666667,0.666666667,-0.953333333,0.733333333,0.316666667,0.267333333,0.455,0.64,409.8566304,17,53,1,33,0,0,36.73230743,21.89086475,7.733143969,8,10,23.13372843,27.43482665,37.7490804,29.28253761,33.35441958,25.15884424,101129.7164,2.56659756,525.1166437,0.193140253,0.194530346,245.7333333
Bam,2007,0.316666667,0.256666667,-56,-13.52333333,-0.103333333,0.903333333,0.556666667,0.103333333,0.18,0.107,0.294333333,0.05,443.9839122,14,47,5,30,134.6799753,47.2895659,61.50127792,47.2895659,9.446466217,7,10,22.4351634,26.95821172,37.63604934,28.60763059,32.89919482,24.67916908,101111.7018,2.432250606,568.550363,0.213666853,0.234099845,557.7036969
Boulkiemde,2003,0.296666667,0.093333333,63.66666667,-13.3,-0.013333333,0.736666667,0.416666667,-1.136666667,0.02,0.133,0.245666667,0.916666667,595.6891479,26,53,7,43,111.8687419,0,50.73152161,29.90039433,11.23941789,8,7,23.08436173,26.54737869,35.95081156,28.33366087,31.71983718,24.48773226,101213.5446,2.168638777,879.5235325,0.39679062,0.105930421,609.1262136
Bam,2008,0.72,0.253333333,70,10.47,-1.316666667,0.626666667,0.13,-1.033333333,0.093333333,0.144666667,-0.583333333,-1.41,483.9101941,24,47,1,39,0,0,31.87728119,20.90328019,10.29596158,4,8,21.79962859,26.36757876,37.83387375,28.44624941,32.85845497,23.99218488,101087.5332,2.529097123,615.4548903,0.201552256,0.209530622,1046.631755
Sanguie,2003,0.296666667,0.093333333,63.66666667,-13.3,-0.013333333,0.736666667,0.416666667,-1.136666667,0.02,0.133,0.245666667,0.916666667,625.6457024,24,60,9,40,143.0104363,0,46.92082977,31.03708347,10.42742837,9,7,22.52646431,25.33912142,35.12738213,28.324348,31.12285587,23.89593984,101212.5439,2.11916141,904.9279889,0.268167993,0.117940482,648.4287069
Bam,2009,0.633333333,-0.163333333,-18.66666667,1.733333333,0.113333333,0.826666667,0.9,-4.306666667,-0.213333333,-0.036,0.272,-0.946666667,532.537242,26,45,6,36,65.92582168,40.68724008,52.72639465,40.68724008,11.83416093,8,8,22.78255115,27.09220082,37.45343032,28.83586066,33.73882733,24.97303188,101150.4911,2.407830798,697.6324431,0.194998525,0.216153071,646.1538462
Bam,2010,0.716666667,1.286666667,79.66666667,-24.96666667,-0.926666667,0.97,-1.543333333,5.193333333,1,0.431666667,-0.402333333,0.393333333,484.5647611,18,55,3,37,53.37941048,0,53.98848724,27.55741479,8.810268384,7,7,22.7243309,26.85686295,39.1357415,27.35415205,33.01578668,24.84362164,101088.2411,2.50030839,676.6758428,0.234784705,0.209943198,750.9090909
Sissili,2003,0.296666667,0.093333333,63.66666667,-13.3,-0.013333333,0.736666667,0.416666667,-1.136666667,0.02,0.133,0.245666667,0.916666667,695.5093747,29,63,11,42,88.02460894,0,53.75893402,32.48333982,11.03983134,11,12,22.6517524,25.71010226,35.06172548,27.50975103,30.66856901,24.04495361,101251.1881,2.233163782,1040.99866,0.354542226,0.199802099,809.4117647
Bam,2011,0.33,0.443333333,-34,8.21,0.52,0.76,-0.206666667,0.996666667,0.346666667,0.127666667,0.460666667,-0.493333333,442.1013491,15,53,4,29,72.67519959,72.67519959,52.42842102,36.73793563,8.34153489,6,9,22.3028752,26.36912689,37.75922603,29.60048029,33.55635052,24.133302,101114.3639,2.533112534,604.1400398,0.166147504,0.196024002,630.7692308
Bam,2012,-0.11,0.076666667,41,-21.85,-0.89,0.883333333,-0.683333333,-0.533333333,0.016666667,0.168333333,-0.179666667,-0.8,605.682718,29,53,6,39,157.6635451,49.06290416,64.20336151,49.06290416,11.42797581,6,8,22.62811838,26.32130364,37.53990053,28.37657094,32.63628104,24.32508999,101186.9243,2.406494079,767.9101072,0.251027349,0.224776624,917.4979264
Ziro,2003,0.296666667,0.093333333,63.66666667,-13.3,-0.013333333,0.736666667,0.416666667,-1.136666667,0.02,0.133,0.245666667,0.916666667,620.7541422,27,59,9,45,57.75198857,0,48.31980515,29.19599992,10.52125665,8,6,22.90708339,26.19882099,35.41610563,27.91888509,31.10374561,24.38697509,101242.9308,2.276639654,924.9061914,0.347447935,0.170942235,1264.942529
Bam,2013,0.37,0.496666667,-13.66666667,11.47,0.67,0.803333333,-1.586666667,2.066666667,0.41,0.081333333,0.455,-0.286666667,404.7278364,18,46,5,27,110.0016693,33.99255567,42.53879166,33.99255567,8.798431227,7,8,22.82829028,26.51184988,38.12933576,29.11818786,33.14657032,24.46765114,101142.1091,2.548758939,540.3927352,0.205009788,0.198752353,859.2435389
Bazega,2003,0.296666667,0.093333333,63.66666667,-13.3,-0.013333333,0.736666667,0.416666667,-1.136666667,0.02,0.133,0.245666667,0.916666667,557.0694886,22,59,7,39,31.60677075,0,45.40348053,31.60677075,9.441855739,8,6,22.9780183,26.42888835,35.78607655,28.04741209,31.5893014,24.59418046,101224.3929,2.266610037,796.3972321,0.342145621,0.129910999,906.6666667
Bam,2014,0.393333333,-0.106666667,133.6666667,-3.213333333,-0.426666667,0.95,-0.063333333,-3.923333333,-0.066666667,-0.024333333,0.309666667,1.25,426.9669017,12,49,4,32,29.85084541,0,45.71609116,29.85084541,8.713610238,6,10,21.83021011,26.57710846,38.50698374,28.93356032,33.11878206,24.27205316,101172.8336,2.662332885,612.1390821,0.177871517,0.092966083,871
Bam,2015,0.4,-0.076666667,-81,-11.51,0.356666667,0.893333333,-0.386666667,-4.62,-0.086666667,-0.013,0.802,1.393333333,480.225226,18,57,3,37,27.05988208,0,53.62726974,27.05988208,8.425003965,13,7,22.12873031,26.95995083,39.02672043,28.61804372,32.89912512,24.49095346,101174.5209,2.324155967,631.7664728,0.240188502,0.090546336,638.3026101
Nahouri,2003,0.296666667,0.093333333,63.66666667,-13.3,-0.013333333,0.736666667,0.416666667,-1.136666667,0.02,0.133,0.245666667,0.916666667,741.2124544,30,59,12,44,158.9273337,50.88236393,78.70822906,50.88236393,12.56292296,11,12,22.69661719,25.95898122,34.77051124,27.36490683,30.89139566,24.37812553,101243.4284,2.332873205,1066.16807,0.372590648,0.201330822,979.5555556
Bam,2016,0.473333333,0.363333333,64.66666667,2.29,-0.18,1.206666667,-1.446666667,-0.53,0.296666667,0.296,-0.258333333,2.333333333,551.9125687,21,52,6,36,120.7790426,71.76606864,54.65227509,36.78793021,10.61370324,6,8,22.50423479,26.59912028,37.84972754,28.33500419,33.06083081,24.51383698,101167.4346,2.482595622,685.8146564,0.214496427,0.096444571,671.5561081
Zoundweogo,2003,0.296666667,0.093333333,63.66666667,-13.3,-0.013333333,0.736666667,0.416666667,-1.136666667,0.02,0.133,0.245666667,0.916666667,687.7157618,31,54,9,42,141.6086718,39.928357,63.9162178,39.928357,12.73547707,7,13,22.80483313,26.22273936,35.10890074,27.69742202,31.31218232,24.50884849,101229.2798,2.351883953,967.2974098,0.353724591,0.150145306,1195
Banwa,2004,-0.153333333,0.3,1.333333333,11.72666667,0.25,0.64,0.24,1.613333333,0.15,0.085,-0.246333333,0.496666667,469.5910995,19,53,3,36,37.62258661,0,62.39357376,37.62258661,8.860209425,7,10,21.9923623,25.41070557,36.0887805,27.74044847,31.48365889,23.53880396,101215.4843,2.191854709,666.9669236,0.29649993,0.291571328,1292.131833
Kadiogo,2003,0.296666667,0.093333333,63.66666667,-13.3,-0.013333333,0.736666667,0.416666667,-1.136666667,0.02,0.133,0.245666667,0.916666667,537.9346937,22,55,3,43,31.18905707,0,40.54455948,31.18905707,9.780630795,8,6,23.46339998,26.93224509,36.1820307,28.46665998,32.13124431,24.91443598,101206.2357,2.178252505,787.2414569,0.347598111,0.107716979,809.1653947
Banwa,2005,-0.01,0.913333333,61.66666667,-14.10666667,-0.44,0.81,-0.32,4.65,0.726666667,0.292,-0.397333333,1.353333333,515.0778716,19,49,6,36,81.98287963,52.59975247,78.29598236,52.59975247,10.5117933,8,10,22.25696852,25.57519246,35.76448572,27.10951402,31.37978972,23.82016167,101226.6091,2.370092644,706.0359891,0.294763269,0.293709835,956.0434655
Banwa,2006,0.32,0.453333333,-22.66666667,8.943333333,0.446666667,0.666666667,-0.953333333,0.733333333,0.316666667,0.267333333,0.455,0.64,594.9407815,22,62,8,39,34.44082884,0,51.0816803,34.44082884,9.595819057,6,7,22.35977899,25.46880439,34.96791458,28.05694213,31.51675726,23.85974851,101207.793,2.357214504,905.6860859,0.304545597,0.277948488,1638.503226
Gnagna,2003,0.296666667,0.093333333,63.66666667,-13.3,-0.013333333,0.736666667,0.416666667,-1.136666667,0.02,0.133,0.245666667,0.916666667,549.606558,22,50,9,39,117.9367213,36.84656588,54.81409836,36.84656588,10.99213116,6,10,23.76178588,27.65129911,37.91680262,29.5320868,33.13250204,25.38312353,101164.6187,2.398596075,776.4161588,0.28277438,0.087993463,1078.740157
Banwa,2007,0.316666667,0.256666667,-56,-13.52333333,-0.103333333,0.903333333,0.556666667,0.103333333,0.18,0.107,0.294333333,0.05,642.1021013,24,57,10,39,146.0221678,41.05632093,54.13081741,41.05632093,11.26494915,12,8,22.52309801,25.70752819,34.72749538,28.09567536,31.30933103,23.912018,101181.9116,2.332197345,853.2698592,0.314218452,0.312285729,728.135034
Gourma,2003,0.296666667,0.093333333,63.66666667,-13.3,-0.013333333,0.736666667,0.416666667,-1.136666667,0.02,0.133,0.245666667,0.916666667,602.4285118,23,50,10,33,131.8754545,41.81036308,65.08226013,41.81036308,12.04857024,6,14,23.52346409,26.90422291,36.7811164,28.00600838,32.06810992,24.95840979,101203.3154,2.525351191,860.3589806,0.327976002,0.14081609,1071.052632
Banwa,2008,0.72,0.253333333,70,10.47,-1.316666667,0.626666667,0.13,-1.033333333,0.093333333,0.144666667,-0.583333333,-1.41,603.8877778,27,54,8,39,81.66452133,52.88695504,77.65467834,52.88695504,11.183107,9,11,21.60352962,25.69161329,35.19837229,27.76613342,31.08288003,23.56206416,101160.6471,2.314417331,789.3231109,0.327287494,0.308246294,984.3797416
Komandjoari,2003,0.296666667,0.093333333,63.66666667,-13.3,-0.013333333,0.736666667,0.416666667,-1.136666667,0.02,0.133,0.245666667,0.916666667,540.5272791,21,51,9,35,154.4960928,35.01938657,47.27635574,35.01938657,10.5985741,5,9,23.65065378,27.40891862,38.05433397,28.68108521,32.93933734,25.28869348,101174.2238,2.515618296,757.2116521,0.249188864,0.130308726,804
Banwa,2009,0.633333333,-0.163333333,-18.66666667,1.733333333,0.113333333,0.826666667,0.9,-4.306666667,-0.213333333,-0.036,0.272,-0.946666667,576.5493734,28,55,3,40,31.88342628,0,53.49965286,31.88342628,10.48271588,10,7,22.06156809,25.84635483,35.69124718,26.56615755,31.32694685,23.73880978,101227.2967,2.175446111,853.6494866,0.305069172,0.298082418,1101.48087
Kompienga,2003,0.296666667,0.093333333,63.66666667,-13.3,-0.013333333,0.736666667,0.416666667,-1.136666667,0.02,0.133,0.245666667,0.916666667,684.7047088,26,58,9,41,158.1270261,90.92027554,68.42871094,49.66769674,11.8052536,10,11,23.25885792,26.55559099,35.3692615,27.23395734,31.37414426,24.79334658,101212.143,2.521304107,960.3914552,0.35958019,0.182297681,943.6363636
Banwa,2010,0.716666667,1.286666667,79.66666667,-24.96666667,-0.926666667,0.97,-1.543333333,5.193333333,1,0.431666667,-0.402333333,0.393333333,700.1068361,26,60,10,44,196.8458017,45.70615653,76.14852142,45.70615653,11.66844727,9,7,21.53412154,25.1930546,36.97531354,25.72760464,31.03824527,23.64633053,101156.4592,2.365529856,1074.524013,0.352753336,0.297860505,1016.558387
Tapoa,2003,0.296666667,0.093333333,63.66666667,-13.3,-0.013333333,0.736666667,0.416666667,-1.136666667,0.02,0.133,0.245666667,0.916666667,620.8193042,26,53,9,40,128.6055813,0,78.31455231,33.93430108,11.71357178,14,12,23.5879061,27.02441588,36.90080218,27.20783744,32.19293054,25.15545831,101196.3781,2.556578846,860.9934371,0.32236748,0.154460632,1006.688525
Banwa,2011,0.33,0.443333333,-34,8.21,0.52,0.76,-0.206666667,0.996666667,0.346666667,0.127666667,0.460666667,-0.493333333,460.3500382,19,54,2,35,34.85197307,0,50.75617599,34.85197307,8.525000707,8,8,21.95963233,25.61812117,35.46383053,27.74660465,31.66329605,23.56441194,101189.563,2.312347791,713.2833716,0.288492819,0.322135246,971.0606061
Houet,2003,0.296666667,0.093333333,63.66666667,-13.3,-0.013333333,0.736666667,0.416666667,-1.136666667,0.02,0.133,0.245666667,0.916666667,733.846829,28,59,13,42,179.3064386,0,68.73918152,40.54457961,12.43808185,9,10,22.08023268,24.83899892,33.80058942,27.09579404,30.13615693,23.26391182,101262.9052,2.109617201,1088.277179,0.385836726,0.188354025,1028.529412
Banwa,2012,-0.11,0.076666667,41,-21.85,-0.89,0.883333333,-0.683333333,-0.533333333,0.016666667,0.168333333,-0.179666667,-0.8,697.2806905,24,57,9,43,287.4707869,80.6700113,63.00143814,40.37665194,12.23299457,8,13,22.1913781,24.69593067,34.81786972,26.83587422,30.95260058,23.48458238,101258.4022,2.174304027,988.4718699,0.336760944,0.303565119,1016.585366
Kenedougou,2003,0.296666667,0.093333333,63.66666667,-13.3,-0.013333333,0.736666667,0.416666667,-1.136666667,0.02,0.133,0.245666667,0.916666667,723.9017232,29,64,12,40,162.199767,0,68.50562286,36.01291164,11.31096442,8,8,21.8316491,24.76665973,33.43040176,26.50336208,30.02377885,23.22611206,101278.2083,2.041143254,1084.330211,0.384247074,0.205181948,913.8461538
Banwa,2013,0.37,0.496666667,-13.66666667,11.47,0.67,0.803333333,-1.586666667,2.066666667,0.41,0.081333333,0.455,-0.286666667,548.3480663,19,57,7,37,127.0977437,0,50.56118393,36.19833743,9.620141514,8,6,22.53619978,25.48647497,34.93504128,28.07288707,31.36080981,23.80033537,101217.8637,2.273774878,783.2566689,0.314503803,0.303701093,1191.394429
Tuy,2003,0.296666667,0.093333333,63.66666667,-13.3,-0.013333333,0.736666667,0.416666667,-1.136666667,0.02,0.133,0.245666667,0.916666667,664.2279486,27,56,9,41,137.4557816,0,54.98437881,37.87246922,11.86121337,12,11,22.28848694,25.16425138,34.55510826,27.14361911,30.39297881,23.48209519,101246.237,2.158451415,976.6204457,0.373946506,0.173245133,1000.487805
Banwa,2014,0.393333333,-0.106666667,133.6666667,-3.213333333,-0.426666667,0.95,-0.063333333,-3.923333333,-0.066666667,-0.024333333,0.309666667,1.25,534.2756683,26,54,2,38,0,0,41.20949173,26.882656,9.893993857,8,10,21.61775712,25.59916398,36.26210493,27.99990414,31.51882072,23.84551802,101258.9881,2.36867068,802.4614724,0.287517817,0.158410164,1149
Loroum,2003,0.296666667,0.093333333,63.66666667,-13.3,-0.013333333,0.736666667,0.416666667,-1.136666667,0.02,0.133,0.245666667,0.916666667,427.855501,17,56,0,37,0,0,31.40695572,19.26216637,7.640276803,7,8,22.94603615,27.04970528,39.19217951,29.2606395,33.12928665,24.91450905,101143.8632,2.736265276,578.2684314,0.2043257,0.074524016,928.3427586
Banwa,2015,0.4,-0.076666667,-81,-11.51,0.356666667,0.893333333,-0.386666667,-4.62,-0.086666667,-0.013,0.802,1.393333333,887.1655311,36,60,15,52,282.4981826,90.9410546,69.58486938,47.58131856,14.78609218,15,5,22.21924593,26.13680359,37.56924144,26.79163812,31.39754201,23.83618513,101237.8586,2.188904157,1081.149443,0.331730588,0.147747961,1014.386615
Passore,2003,0.296666667,0.093333333,63.66666667,-13.3,-0.013333333,0.736666667,0.416666667,-1.136666667,0.02,0.133,0.245666667,0.916666667,583.6706511,27,56,7,42,29.94082136,0,41.52684021,29.94082136,10.4226902,11,7,23.1641553,26.85219282,36.34623195,29.0332026,32.24366575,24.74769606,101190.8765,2.125786835,794.8138276,0.258359821,0.108250145,827.6923077
