,province,model,Score_train,score_test
0,Sanmatenga,RandomForest,0.8353400781425732,-1.6323797718186328
1,Sanmatenga,DecisionTree,1.0,-14.198053925981927
2,Sanmatenga,RidgeCV,0.9055046168182218,-8.830724898324423
3,Sanmatenga,Lasso,0.9973224586218649,-29.879877753675064
0,Boulkiemde,RandomForest,0.7786257064222627,-2.440621582529716
1,Boulkiemde,DecisionTree,1.0,-14.410770525440695
2,Boulkiemde,RidgeCV,0.7240052680955138,-6.720669871718034
3,Boulkiemde,Lasso,0.9744271068273992,-13.77053733150503
0,Sanguie,RandomForest,0.9041578422488988,-4.4312306820615035
1,Sanguie,DecisionTree,1.0,-19.205849567871958
2,Sanguie,RidgeCV,0.999988895817661,-6.821887931936942
3,Sanguie,Lasso,0.9964225213790703,-3.8334357528767136
0,Sissili,RandomForest,0.7627322390947995,-1.2115862384694802
1,Sissili,DecisionTree,1.0,-12.852594686088715
2,Sissili,RidgeCV,0.7218268542168897,-1.2606903115946038
3,Sissili,Lasso,0.9965753924138476,-9.024680166172423
0,Ziro,RandomForest,0.891640761527017,-1.895339226127776
1,Ziro,DecisionTree,1.0,-4.722502681689791
2,Ziro,RidgeCV,0.9366799333971954,-1.1026283304986846
3,Ziro,Lasso,0.9967419784003761,-0.5202420936912198
0,Bazega,RandomForest,0.865749431837827,-1.3682654868323882
1,Bazega,DecisionTree,1.0,-2.80062100729269
2,Bazega,RidgeCV,0.9970662898928845,-1.2161673445666894
3,Bazega,Lasso,0.9956274169400381,-1.8404886720889078
0,Nahouri,RandomForest,0.7849883780754449,-0.5867716758691579
1,Nahouri,DecisionTree,1.0,-0.9825805408385102
2,Nahouri,RidgeCV,0.8245717776074841,-0.1918242113117643
3,Nahouri,Lasso,0.9909945752205614,0.02270684750405394
0,Zoundweogo,RandomForest,0.8015038715672087,0.10673878419959804
1,Zoundweogo,DecisionTree,1.0,-14.755238402250956
2,Zoundweogo,RidgeCV,0.9999823381287377,-41.65958953165574
3,Zoundweogo,Lasso,0.999626416790092,-65.24592004359044
0,Kadiogo,RandomForest,0.854958852446539,0.36535439555013605
1,Kadiogo,DecisionTree,1.0,0.5748523839739683
2,Kadiogo,RidgeCV,0.9999744909481328,-0.09364707408852846
3,Kadiogo,Lasso,0.9974697916002038,-0.6105659031552075
0,Gnagna,RandomForest,0.8304960111406254,0.4102946897854973
1,Gnagna,DecisionTree,1.0,0.46873724548480356
2,Gnagna,RidgeCV,0.9999878980444534,-0.34908918691234647
3,Gnagna,Lasso,0.9986451881485893,0.3685587905015608
0,Gourma,RandomForest,0.8258120312145523,0.08127928113564953
1,Gourma,DecisionTree,1.0,0.21989073359414302
2,Gourma,RidgeCV,0.8563572486277665,-0.028122274893505494
3,Gourma,Lasso,0.9960778243653584,-0.29126096329612206
0,Komandjoari,RandomForest,0.7840597732043803,-93.33418734985507
1,Komandjoari,DecisionTree,1.0,-138.2792315130532
2,Komandjoari,RidgeCV,0.7793328025572283,-87.46817521239815
3,Komandjoari,Lasso,0.9958447776260476,-245.27426036384034
0,Kompienga,RandomForest,0.874485642906092,-0.49121361687637477
1,Kompienga,DecisionTree,1.0,-0.4295693944113852
2,Kompienga,RidgeCV,0.9152385092338804,-0.6401228455877972
3,Kompienga,Lasso,0.9942450324451824,-0.4094590582531099
0,Tapoa,RandomForest,0.8510128284639561,-2.1207482123530856
1,Tapoa,DecisionTree,1.0,-4.176392857894415
2,Tapoa,RidgeCV,0.8917734107458903,-2.0023429343271464
3,Tapoa,Lasso,0.9976661416456293,-5.889888842987402
0,Houet,RandomForest,0.884394802143682,-1.708548400361972
1,Houet,DecisionTree,1.0,-9.986701617657875
2,Houet,RidgeCV,0.9227182896216117,-3.98087462657014
3,Houet,Lasso,0.9947463602987398,-7.018448275762285
0,Kenedougou,RandomForest,0.8658060593520785,0.537836200690038
1,Kenedougou,DecisionTree,1.0,-4.109307627402832
2,Kenedougou,RidgeCV,0.8198277301815082,0.25473632586574346
3,Kenedougou,Lasso,0.9944202097714108,-0.331036708357743
0,Tuy,RandomForest,0.7906542078053869,-9.022534403495449
1,Tuy,DecisionTree,1.0,-37.61556032354168
2,Tuy,RidgeCV,0.8498187261472314,-5.290763650924933
3,Tuy,Lasso,0.9987138884801912,-9.543770870300422
0,Loroum,RandomForest,0.8070057585802419,-0.33088653524997746
1,Loroum,DecisionTree,1.0,-0.4008358691245608
2,Loroum,RidgeCV,0.7837955723262499,-0.5949707345121735
3,Loroum,Lasso,0.9956268434591756,-1.7167644421112005
0,Passore,RandomForest,0.8097341414785133,-0.15412475681000148
1,Passore,DecisionTree,1.0,-21.47349873714733
2,Passore,RidgeCV,0.7613991675855694,-3.2263878061746016
3,Passore,Lasso,0.99563340997695,-11.788364375858523
0,Yatenga,RandomForest,0.8410211234228694,-1.857276623754911
1,Yatenga,DecisionTree,1.0,-2.0498075150706905
2,Yatenga,RidgeCV,0.8304706733549524,-3.9603590317433834
3,Yatenga,Lasso,0.9957795015476413,-11.068807636828828
0,Zondoma,RandomForest,0.8117033229137873,0.30608915552225024
1,Zondoma,DecisionTree,1.0,-0.5507530108302177
2,Zondoma,RidgeCV,0.9999705494250916,-2.4823620384019396
3,Zondoma,Lasso,0.99944361700882,-1.3455649618375416
0,Ganzourgou,RandomForest,0.8386567782895302,-0.49161838553054005
1,Ganzourgou,DecisionTree,1.0,-3.089127161545095
2,Ganzourgou,RidgeCV,0.8465371233812731,-0.08098386946584868
3,Ganzourgou,Lasso,0.9965919505283765,-1.3469117610458587
0,Kourweogo,RandomForest,0.791648753905059,-3.9371271185535335
1,Kourweogo,DecisionTree,1.0,-3.4105289147998477
2,Kourweogo,RidgeCV,0.8090895410294373,-11.347705209355835
3,Kourweogo,Lasso,0.9966210079615283,-11.117124400758403
0,Oubritenga,RandomForest,0.8465530631012139,-0.4606786082317069
1,Oubritenga,DecisionTree,1.0,-3.4172573961524018
2,Oubritenga,RidgeCV,0.831633551546899,-1.2240166329740352
3,Oubritenga,Lasso,0.9952459747102737,-1.8836848115828784
0,Oudalan,RandomForest,0.8750394765486964,-96.8552864392163
1,Oudalan,DecisionTree,1.0,-201.98870424140168
2,Oudalan,RidgeCV,0.8897529223129034,-184.17224373517263
3,Oudalan,Lasso,0.9972143341452204,-248.51031862475995
0,Seno,RandomForest,0.8711126670999834,0.18099719091613353
1,Seno,DecisionTree,1.0,0.9544251059343409
2,Seno,RidgeCV,0.8883933343541526,0.3256394348229069
3,Seno,Lasso,0.997595890916787,0.4759317004819319
0,Soum,RandomForest,0.8197364352882814,-0.11254753805388629
1,Soum,DecisionTree,1.0,-2.1275059866285133
2,Soum,RidgeCV,0.9999599863726022,-1.386976338831989
3,Soum,Lasso,0.9965786801034908,0.34390795902429094
0,Yagha,RandomForest,0.860050064994512,-5.124001637612969
1,Yagha,DecisionTree,1.0,-13.644617984031461
2,Yagha,RidgeCV,0.8969073222900317,-5.2399160435352385
3,Yagha,Lasso,0.9976970563978526,-8.265698630349647
0,Bougouriba,RandomForest,0.8889748019122711,-1.856092410672301
1,Bougouriba,DecisionTree,1.0,-2.576399091205546
2,Bougouriba,RidgeCV,0.9036620222808369,-1.259011623375784
3,Bougouriba,Lasso,0.9972687587592154,-2.1376820934768177
0,Ioba,RandomForest,0.820507459234068,-0.4679286556094291
1,Ioba,DecisionTree,1.0,-8.498657385323227
2,Ioba,RidgeCV,0.8023972112122735,-0.17213812175375098
3,Ioba,Lasso,0.9994615754780478,-2.4448352059533054
0,Noumbiel,RandomForest,0.8568408987065922,-3.069651533170208
1,Noumbiel,DecisionTree,1.0,-5.607930426932229
2,Noumbiel,RidgeCV,0.856760987006869,-2.365123215918782
3,Noumbiel,Lasso,0.9977135139997414,-1.03386602432276
0,Poni,RandomForest,0.7030058647638334,-4.529587000554411
1,Poni,DecisionTree,1.0,-9.618250276121351
2,Poni,RidgeCV,0.7194761016127957,-1.870613153401215
3,Poni,Lasso,0.998784365168032,-2.9041388618134634
