,Bale,Banwa,Kossi,Mouhoun,Nayala,Sourou,Comoe,Leraba,Boulgou,Koulpelogo,Kouritenga,Bam,Namentenga,Sanmatenga,Boulkiemde,Sanguie,Sissili,Ziro,Bazega,Nahouri,Zoundweogo,Kadiogo,Gnagna,Gourma,Komandjoari,Kompienga,Tapoa,Houet,Kenedougou,Tuy,Loroum,Passore,Yatenga,Zondoma,Ganzourgou,Kourweogo,Oubritenga,Oudalan,Seno,Soum,Yagha,Bougouriba,Ioba,Noumbiel,Poni
year,0.5773656049460945,0.13509940183923955,0.19266836011282534,0.16139271901320368,-0.01464703819481545,0.5794438247846349,0.3414699611150273,0.36152415332071414,0.12241902305278168,-0.48993636371007243,0.5110858128024782,0.08892860210307948,0.155934933113876,0.2665758132110011,0.45709989174701304,0.6730585150414994,0.5374652199787334,-0.15865777237510995,0.5712770584720361,0.25601035255374954,0.6115032543544078,0.798849179619872,-0.01156587478890062,0.4640224963771167,0.059386909858175435,0.5083255272629145,0.4576069484580587,0.2699108253824949,0.06016993481656085,0.6216611536475053,0.2531661910129963,0.34595999232052355,0.4185049917724411,0.31839531319128234,0.757673730179191,0.2576163334230465,0.48504808191822724,-0.3084499130022374,-0.07461812237231935,0.46254069702257916,0.3771945395737367,0.014718891172884711,0.4664717472374958,-0.23850945100577808,0.6235044810548728
driver.TSA,0.2892301214846869,0.24112435653733635,0.19097623042565412,-0.08130937552110515,0.09981019293710741,-0.10167634934558689,0.1409691759041442,-0.06931187004404717,-0.1146710000625945,-0.06126142373053582,0.10770802186091588,-0.008639926401209011,-0.23786404733106975,-0.09262400964653182,0.11138374471570772,0.23705945567076678,-0.07715660657116731,-0.03641710406234633,0.35949674145563104,0.14768653976581853,0.16400682947759362,-0.015027389181477927,0.1831521337462412,0.23894568804791122,0.2073176574950123,-0.10655536904288165,-0.1742958843245749,0.1753873288950552,-0.0568825858862185,0.2653897994035777,0.13405547384014954,-0.1288087786716557,0.06939616671314466,-0.012852329790528975,0.07053947806327517,-0.062451538248687835,0.037762912676374494,-0.42508690742628147,0.14346998230159372,0.0887312000883621,-0.5178223382956529,-0.12238743251560363,0.43615201278584304,-0.0634072381322033,0.16736088856662074
Driver.TNA,-0.06518850796097284,0.3194409880152713,0.3871906987404644,0.15687875075667163,0.0687077774919025,0.15478385034132483,-0.019275912986235516,0.25654916110293824,0.1863914057970109,0.14236471745363868,-0.20294997589019162,0.298731219453776,0.341357869658167,0.38252092146829625,-0.1666088377514353,-0.22866201357629082,-0.22343544914137653,-0.24260636521802575,0.21203802431749086,-0.14820236876989773,-0.24998371444944106,-0.050463067475545575,0.30404088565009174,-0.1399860544425015,-0.25624903693656775,-0.0868860621849038,-0.13874273118949032,0.15100374824794346,-0.2345043665781512,-0.1462714885034957,0.2833421311380434,0.05155183863017659,-0.07789392463312064,-0.008293154284431281,0.15844672742165056,0.14655668122233512,0.22259572068996447,0.4864546087053704,-0.006325898949381555,0.290003393036681,0.24132281735534308,-0.27619831487466595,-0.4496974608785732,-0.1481530276850022,-0.25031916343435323
sahel_rainfall,0.19080454564705038,0.2969577272516599,0.2999854772603437,0.179907502791313,0.06809745153093527,0.05646045587135163,0.0256755271089536,0.00491865932739232,0.10523315903633508,0.3477437296055004,0.2207075475716546,0.45037506791692333,0.07133859418995377,0.4204884312200179,0.5636605724537003,0.46112291439717684,0.10739983566355266,0.4447129424793465,0.5120477447001155,-0.009710392305348411,0.42267646109393225,0.4271382101272639,0.31757375039549596,0.4976363462350521,0.4646952667798299,-0.02313280245773542,0.28495205124959033,0.3529865366727947,0.11634226837952315,0.26608558977197444,0.21974814370446077,0.5467214453234606,0.4247011674446606,0.45418827087139874,0.2689246878796408,0.5409021537370878,0.6328434801867623,0.2193660161090815,-0.18071986307175483,0.02832185003696466,0.030967691146091304,0.11257437416370389,0.21039251175122234,-0.1541525172466024,0.44143790384443937
QBO,-0.09377663085466963,0.04760734450257525,-0.17688233693829514,0.07849054963741123,-0.03983359920526529,-0.1312680175218975,0.32531339609596255,-0.10180152097690996,0.03375251696176445,0.158549537759285,-0.005461101817797346,-0.23491940969555786,-0.2978954547194698,-0.45679054607568864,-0.15387202623421922,-0.21239639880899952,-0.19709228249548866,0.07367404391964677,0.09710307513511647,0.05290293467468735,0.05411928353757935,-0.16013677752988706,-0.18671794411336204,-0.16731987627579833,-0.11645779599708744,0.17541517526023498,-0.2757147920672026,-0.0212806869344584,-0.08360548677304946,-0.06776914450478107,-0.6858898957252317,-0.40945374186881,-0.3580179972890378,-0.5385152084774456,0.007171365139106282,-0.26981758817477264,-0.19285929393867118,-0.25426255577806167,-0.1955151765134418,-0.12615791048723773,-0.41101479453775824,0.06394669426486452,0.10950922362687934,0.17027569953581817,-0.00019012770777793823
NAO,0.02780485391301544,-0.05711682461141729,-0.0992794981176368,0.03785238665659689,0.1384639818905026,-0.018186949281562604,-0.018604858017148843,0.011153358838704759,0.03025949578689485,-0.20966633760253903,-0.07172326381139511,-0.5063374465797333,-0.3122484770829066,-0.7109770837765185,-0.41252168390406063,-0.3674431429065041,-0.30859056621544734,-0.147712804284522,-0.34803552074686117,0.3259888880337496,-0.08005437715568064,-0.2957992017340647,-0.657018945512367,-0.2544115265879985,-0.6931667528659611,0.02528747260246643,-0.5215501547533007,-0.25913413969861016,-0.0011103167114988371,-0.03503373577104054,-0.4625536495199847,-0.5942175184796182,-0.4315286670822465,-0.38469829146940754,-0.27683328223136816,-0.5183780970291426,-0.36130778412639913,-0.11831752556703311,0.1301624692144426,-0.05570879170269265,-0.0995476778605218,0.19558047957786634,-0.004452162096914729,0.18612879270133934,-0.308892372158539
gmsst,0.44978511199280946,-0.05273316702902888,0.014363009669228244,0.01673850815016272,-0.10098700899894467,0.4849830799662294,0.058973252298875706,0.2897252067730907,-0.04902353637580384,-0.37836390211010595,0.5867393215899263,-0.038082174918010414,0.12371698669689545,0.1741236797232967,0.3909056833665049,0.5490873896293249,0.2704609799293322,-0.24236195770441626,0.35053480464667797,0.14000347205111235,0.5494804257597474,0.63342997998252,0.12298033526244213,0.3820809714538516,-0.11083978063313472,0.21788870887404727,0.2876974234060743,-0.040810246031736865,0.22810942138300086,0.4882957855802567,0.2485835808472098,0.2745874746816436,0.3684277818023393,0.20292892847268812,0.43080602007776164,0.14884741826788628,0.39836774811712533,-0.13177394071567694,-0.0011885219427306235,0.15216910016035964,0.3095530064278038,0.12174742837251609,0.34111069472366795,0.12453964459941037,0.5760808388973585
EA,-0.5493959697946706,-0.37278310078201915,-0.44324278833965447,-0.45924983351688703,-0.3305938842993685,-0.5504814394400283,-0.28808479735916154,-0.5020272767837827,-0.17602761217342808,0.10266838099300662,-0.13661322110338833,0.04955813383241306,-0.1958187019756212,-0.3332159567290746,-0.1389893011627769,-0.20881513766745102,-0.32050659628623296,0.022775447245697692,-0.5611319923253847,-0.2673992648877029,-0.22708602295734465,-0.4583483417706309,0.08977086288965071,-0.2128366303719692,0.24759380092347694,-0.5621078498862562,-0.2398280610860807,-0.2875463000685806,-0.08549651304211146,-0.5148741334610386,-0.15974605923717541,0.009002100684259695,0.03828384118519884,-0.24491394057465776,-0.5132098671425608,-0.317619400048146,-0.5160575525731712,0.05390240945148598,0.028179350847973895,-0.3809217622755763,-0.5046005652589587,-0.17735615022323106,-0.16469226819348565,0.20927441540862246,-0.28379183818864356
AMM_sst,-0.21271009312060915,0.21338523709909507,0.26847825923062524,0.11519877479082387,0.009619875472542685,0.030141621744893737,-0.12699864152195545,0.23173701097892882,0.09488067947548776,0.15728287373776106,-0.2968413492885013,0.20421455351917658,0.29513291633771926,0.36736017310898184,-0.30914572104220106,-0.37869773926732003,-0.2622605516512898,-0.27763750953037714,0.017107275741062827,-0.2628831623619509,-0.35385446892364075,-0.1316236051672534,0.21698615998360798,-0.2262775905813528,-0.2793713871232773,-0.1018590003647606,-0.11010759828227885,0.03680908205188111,-0.33451296525023344,-0.2921098205037819,0.21421300171674712,0.013193408573169781,-0.19823573124172247,-0.06924427592598306,0.0684750020876225,0.09324381561191653,0.16023589981256225,0.5442696975474278,-0.06951361417337588,0.2623711866817016,0.29657937983487276,-0.3300649886917561,-0.6212922869266183,-0.19725127965445086,-0.3689517559472349
Driver.NTA,-0.007723384391581565,0.32776696610461636,0.4100700569434094,0.20733269290153242,0.07290231990964705,0.22285177012473018,0.0067111603284880335,0.3222163500493834,0.19876017093224224,0.09619253190474343,-0.10392424791978402,0.3255764202292417,0.3649655536323939,0.38061419215032266,-0.12382429318096114,-0.16133698869582172,-0.19257527057793541,-0.23384749270319471,0.2502543736122826,-0.11538877414756864,-0.15757984363930114,0.04116930986761212,0.2942464380061039,-0.09201710989523718,-0.28018787655414873,-0.04859943200277284,-0.10372416092927725,0.16720886928669923,-0.1700078476783811,-0.08760630472166299,0.27763658699432425,0.10327302531400785,-0.014394363864688581,0.016692814964318965,0.22634613937711612,0.17467994632542552,0.27904236960080214,0.4841049017164276,0.027783749417799885,0.3260976644110328,0.2862585252161832,-0.23913052468817125,-0.4095939689249601,-0.1406863747835537,-0.18264226362286004
