,year,Tmin_ERA5,ERA5_Pressure,ERA5_Tmax,ERA5_soil_moisture,ERA5_wins,ARC2_year,Best_Temp_Max,Best_Temp,NDVI,Tamsat_Prec,chirps_Prec,CDD,CWD,PRCPTOT,R10mm,R1mm,R20mm,R5mm,R95pTOT,R99pTOT,RX1day,RX5day,SDII,TNn,TXn,TNx,TXx,Nino,AMM,AMO,AO,EA,NAO,NTA,PDO,gmsst,qbo,sahel_rainfal,tna,tsa,mais,mil
count,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0
mean,2008.5,296.1713541848144,101186.58125506173,304.25120231271586,0.29835352532592574,2.4312893244851885,800.7540488279013,33.46735984782715,21.93210667908641,0.06105367750864195,690.7446580082717,774.4653032928386,9.430864197530864,7.303703703703704,541.1645919220988,21.944444444444443,51.32962962962963,6.453086419753086,35.88395061728395,85.6998310395062,23.024989902407416,56.15002917759256,36.11275665369136,10.505135343043207,20.141717561999986,30.265232814135828,23.823925385493823,37.1899993147901,27.768518518889053,-0.36666666666666564,0.13157407411111144,0.14083333344444435,-0.20277777772222175,-0.039999999999999876,0.18425925927777867,0.2766666666111107,0.8240740740555558,-2.770185185166666,24.40740741111114,0.2814814814444439,0.34685185188888706,1182.7619248725925,807.0307588528519
std,5.191332988289505,0.7591557337181689,60.252353309276,1.5492534469394228,0.06814953077247098,0.2958655783896132,143.57416185925055,0.8787733401797836,0.9375842554597252,3.1473409710477664,162.5762070447044,175.59940428257462,2.7920575138718964,2.0839278097034675,112.52242017708875,5.394052027983535,6.154880773908184,3.182678180468991,5.9610490276911205,58.33183866470794,32.664425336755514,13.074511866842188,9.456025187758916,1.584883856779501,0.9387990266195143,0.8458054148827967,1.0072173443536385,1.3463942205263526,0.4360291410736242,2.726066999401833,0.13319803217017195,0.3931767428361027,0.7546299202274831,0.5539318947279618,0.31528982015086343,0.9460437430686701,0.1578617768620362,12.609497837548963,68.91159450492471,0.36973785894698935,0.23534019822221655,533.1878651998279,270.0060696854541
min,2000.0,294.3248787,100985.2438,301.3448027,0.134119096,1.885393172,318.6690097,31.71861319,20.21420646,-76.99983204,253.7693201,262.2241282,4.0,3.0,202.8227692,4.0,33.0,0.0,14.0,0.0,0.0,25.25858688,17.25705629,5.907203353,18.07661605,28.27565177,21.9660492,34.20537496,26.99,-4.62,-0.058,-0.583333333,-1.586666667,-1.316666667,-0.213333333,-1.41,0.626666667,-24.96666667,-81.0,-0.163333333,-0.153333333,0.0,0.0
25%,2004.0,295.646361375,101146.42135,303.0721095,0.246378942,2.24573895325,705.4144154749999,32.8360360625,21.25689164,0.13359294,581.9079831,655.509213175,7.0,6.0,462.32678455,18.0,47.0,4.0,32.0,37.8900412825,0.0,46.758770945,29.840585875000002,9.45205308375,19.520662105,29.691723252499997,23.1043455275,36.1874615525,27.53333333,-1.9,0.031,-0.246333333,-0.683333333,-0.426666667,-0.066666667,-0.433333333,0.666666667,-13.52333333,-22.66666667,-0.076666667,0.296666667,795.865203775,628.28681255
50%,2008.5,296.1325058,101189.45845,303.9896737,0.312838642,2.350877628,804.9092200499999,33.27940093,21.719165125,0.21563619750000002,689.637249,783.3472661000001,9.0,7.0,540.635548,22.0,52.0,6.0,36.0,77.08746611,0.0,54.59582329,34.792566289999996,10.51254688,19.984385080000003,30.18604484,23.64134667,37.008945999999995,27.688333335000003,-0.5316666665,0.1173333335,0.2831666665,-0.0866666665,0.055,0.12166666649999999,0.2216666665,0.8066666665,0.06000000000000005,21.1666666665,0.255,0.3733333335,1153.776278,797.6284957
75%,2013.0,296.5962387,101228.64,305.21662975,0.3547995345,2.530680726,905.677814875,33.916635615,22.397343595,0.29056748025,799.617063875,895.6325972750001,11.0,9.0,610.344225575,26.0,56.0,9.0,40.0,119.198022975,42.3385015525,64.213207245,40.981179139999995,11.5140554075,20.6377579525,30.698142660000002,24.311884544999998,38.0389669625,28.04,1.15,0.267333333,0.455,0.416666667,0.446666667,0.346666667,0.93,0.903333333,8.943333333,64.66666667,0.453333333,0.473333333,1520.72420875,972.5068991
max,2017.0,299.0250013,101341.3191,309.6642984,0.451599533,3.720420835,1208.416737,36.6227024,25.03279062,0.362509891,1109.394318,1270.387202,23.0,17.0,939.8599521,40.0,67.0,18.0,52.0,302.0845581,191.3818861,111.1446686,74.88874084,15.81102994,23.35370759,33.0749526,27.56425707,41.63072968,28.84333333,5.193333333,0.431666667,0.802,0.9,0.67,1.0,2.333333333,1.206666667,13.81666667,184.6666667,1.286666667,0.72,3133.659071,2003.277789
