,provinces,model,Score_train,score_test
0,Zoundweogo,RandomForest,0.8561454337645196,0.08643327901710751
1,Zoundweogo,DecisionTree,1.0,-0.2932401704952652
2,Zoundweogo,RidgeCV,0.8137528435007453,0.03342850808109299
3,Zoundweogo,Lasso,0.982111369618389,0.3053605627128906
0,Kadiogo,RandomForest,0.9161345716822474,-0.19475655753128351
1,Kadiogo,DecisionTree,1.0,-0.6135229785876615
2,Kadiogo,RidgeCV,0.8964512078227855,0.3815360197698685
3,Kadiogo,Lasso,0.9863039824632057,0.3703793833455108
0,Gnagna,RandomForest,0.8294892202069866,0.2252363584622623
1,Gnagna,DecisionTree,1.0,-0.16016624754078035
2,Gnagna,RidgeCV,0.7979965317854486,0.16867002968316935
3,Gnagna,Lasso,0.9836188499301742,-0.3784094293819087
0,Gourma,RandomForest,0.8299471322179004,-0.9010964327861344
1,Gourma,DecisionTree,1.0,-4.572120112330801
2,Gourma,RidgeCV,0.8441665151165131,-0.8847827734293552
3,Gourma,Lasso,0.9903039462037236,-0.175474659682618
0,Komandjoari,RandomForest,0.8307565774521268,-1.1431740194934639
1,Komandjoari,DecisionTree,1.0,0.351938487274139
2,Komandjoari,RidgeCV,0.999926683488252,-13.487241899611675
3,Komandjoari,Lasso,0.9957065284628842,-8.802721229593018
0,Kompienga,RandomForest,0.8186750065812622,-0.8546899894192699
1,Kompienga,DecisionTree,1.0,-1.6232082613077732
2,Kompienga,RidgeCV,0.8824945393757793,-1.0437148766406188
3,Kompienga,Lasso,0.992316815734497,-1.2146721748230886
0,Tapoa,RandomForest,0.8490532851086932,0.24255060985384758
1,Tapoa,DecisionTree,1.0,0.5501543677280888
2,Tapoa,RidgeCV,0.7884951813879918,-0.4176339756672911
3,Tapoa,Lasso,0.9900491095617008,-1.5827335681038575
0,Houet,RandomForest,0.8340776999045049,-0.4573197311899182
1,Houet,DecisionTree,1.0,-0.42172202528859115
2,Houet,RidgeCV,0.6653015517377174,0.22222315230024692
3,Houet,Lasso,0.9864372149431432,0.314521637332834
0,Kenedougou,RandomForest,0.8608232775249489,-0.9763644312683624
1,Kenedougou,DecisionTree,1.0,-1.4350305204077674
2,Kenedougou,RidgeCV,0.8577546497905476,-0.44146173084809925
3,Kenedougou,Lasso,0.9825536747527247,-0.8593062655313295
0,Tuy,RandomForest,0.825915396044828,-1.0743804520353235
1,Tuy,DecisionTree,1.0,-2.332064549901303
2,Tuy,RidgeCV,0.8727621127114458,-3.929014307973879
3,Tuy,Lasso,0.983075424056724,-6.461784884727292
0,Loroum,RandomForest,0.8919343996910356,-2.9503237009359458
1,Loroum,DecisionTree,1.0,-8.41439758886239
2,Loroum,RidgeCV,0.999969309950626,-5.210198565496837
3,Loroum,Lasso,0.9964559279640607,-10.064961302194437
