,provinces,model,Score_train,score_test
0,Bale,RandomForest,0.8297393302277218,0.36280550016738744
1,Bale,DecisionTree,1.0,-0.4668110142578028
2,Bale,RidgeCV,0.8090175893072112,0.054763553396337206
3,Bale,Lasso,0.9966888470759321,-0.6832459695552973
0,Banwa,RandomForest,0.861475531788816,-1.2399431848956213
1,Banwa,DecisionTree,1.0,-0.47311063066631
2,Banwa,RidgeCV,0.7552187515743396,-1.7441803444841804
3,Banwa,Lasso,0.990512754947761,-7.124399591845512
0,Kossi,RandomForest,0.8106447150272167,-12.130122442577605
1,Kossi,DecisionTree,1.0,-25.121591768821606
2,Kossi,RidgeCV,0.8076775138347491,-12.517184690812305
3,Kossi,Lasso,0.9942884972467974,-26.15765756126201
0,Mouhoun,RandomForest,0.8157572666212309,-6.960793024867187
1,Mouhoun,DecisionTree,1.0,0.15725861424814236
2,Mouhoun,RidgeCV,0.7592799689759696,-11.030672317227356
3,Mouhoun,Lasso,0.9960154148651224,-27.355976217316762
0,Nayala,RandomForest,0.8376089829496075,-1.7385700777004853
1,Nayala,DecisionTree,1.0,-1.687441252871932
2,Nayala,RidgeCV,0.7809993635904787,-6.5487300605549965
3,Nayala,Lasso,0.9986049687644114,-22.85321527781515
0,Sourou,RandomForest,0.8279616836991623,-11.683763814176444
1,Sourou,DecisionTree,1.0,-65.15393859056522
2,Sourou,RidgeCV,0.8188311752219852,-11.936843257682606
3,Sourou,Lasso,0.9983733806490849,-32.1737528401003
0,Comoe,RandomForest,0.8852388592700852,0.25985691802276367
1,Comoe,DecisionTree,1.0,-0.742769387415867
2,Comoe,RidgeCV,0.8281865218404166,0.4718953189527705
3,Comoe,Lasso,0.996466970517871,0.22504735789780328
0,Leraba,RandomForest,0.8483956782849472,-1.9508222541329499
1,Leraba,DecisionTree,1.0,-1.1280498079198993
2,Leraba,RidgeCV,0.7809499075494952,-3.4264516336749633
3,Leraba,Lasso,0.9897908558945977,-7.306770424763149
0,Boulgou,RandomForest,0.8343900380721357,-0.05069005896133816
1,Boulgou,DecisionTree,1.0,-4.543609917543604
2,Boulgou,RidgeCV,0.8356177467131756,-0.05567177234332554
3,Boulgou,Lasso,0.9949705712130977,-1.8791314804176698
0,Koulpelogo,RandomForest,0.8839525889499422,-0.4862319247568798
1,Koulpelogo,DecisionTree,1.0,-0.5300020653359705
2,Koulpelogo,RidgeCV,0.7266746433299379,-6.007493108531606
3,Koulpelogo,Lasso,0.9902246100108052,-35.5640877836046
0,Kouritenga,RandomForest,0.8224756377889757,0.30623460514088585
1,Kouritenga,DecisionTree,1.0,0.7629713989488703
2,Kouritenga,RidgeCV,0.73372991779621,0.5401047227550779
3,Kouritenga,Lasso,0.9947581941385802,0.5291062624347616
0,Bam,RandomForest,0.8374285987873721,-2.551207987610602
1,Bam,DecisionTree,1.0,-2.10692150298215
2,Bam,RidgeCV,0.78376195099417,-3.3163120074363412
3,Bam,Lasso,0.9784088002580448,-4.033474941498704
0,Namentenga,RandomForest,0.829877463118049,-0.7095341021396593
1,Namentenga,DecisionTree,1.0,-2.20854502335527
2,Namentenga,RidgeCV,0.6041899160585695,-0.0901329862341913
3,Namentenga,Lasso,0.9798896616284247,0.2239378270694865
0,Sanmatenga,RandomForest,0.8871104251512708,-3.614936455031427
1,Sanmatenga,DecisionTree,1.0,-14.739719963603605
2,Sanmatenga,RidgeCV,0.8482292921690502,-2.2231195607317114
3,Sanmatenga,Lasso,0.9953649460512924,-4.985918589777052
0,Boulkiemde,RandomForest,0.8461500676309548,0.7808318696110453
1,Boulkiemde,DecisionTree,1.0,-3.4756974984771674
2,Boulkiemde,RidgeCV,0.7373068136340886,-1.0236645778293858
3,Boulkiemde,Lasso,0.9892792848865747,-6.523109548506415
