,provinces,model,Score_train,score_test
0,Bale,RandomForest,0.8515017420543712,-4.261848615949973
1,Bale,DecisionTree,1.0,-0.6795163161113371
2,Bale,RidgeCV,0.9999413207106549,-4.550003137058952
3,Bale,Lasso,0.9949008586794681,-4.931807544618085
0,Banwa,RandomForest,0.7723830727325286,-0.34582466254245103
1,Banwa,DecisionTree,1.0,-1.754475840928177
2,Banwa,RidgeCV,0.7166638329459758,-0.0986957072762209
3,Banwa,Lasso,0.963869677333862,-1.0288660645597854
0,Kossi,RandomForest,0.8733497613101813,0.5483486550949024
1,Kossi,DecisionTree,1.0,0.4374751046151164
2,Kossi,RidgeCV,0.8361481545883669,0.6196733826199516
3,Kossi,Lasso,0.96848022704622,0.3806706750646722
0,Mouhoun,RandomForest,0.7929102249053257,-0.9114208639244918
1,Mouhoun,DecisionTree,1.0,-0.7416238610594983
2,Mouhoun,RidgeCV,0.6910120352056093,-1.941700931511257
3,Mouhoun,Lasso,0.9890181948253342,-3.3175161602822882
0,Nayala,RandomForest,0.8477116430559842,-0.005725902616308565
1,Nayala,DecisionTree,1.0,0.7044651025756448
2,Nayala,RidgeCV,0.7235315336275059,0.2474945991036046
3,Nayala,Lasso,0.9718989415182374,-0.0973691567205559
0,Sourou,RandomForest,0.8695385206519927,-0.0925070992530923
1,Sourou,DecisionTree,1.0,-1.743118574664984
2,Sourou,RidgeCV,0.8393350117810465,0.16386026503954676
3,Sourou,Lasso,0.9977651592640621,0.19669287632708254
0,Comoe,RandomForest,0.8469970509360069,-0.29286553908103174
1,Comoe,DecisionTree,1.0,-3.0090682516894702
2,Comoe,RidgeCV,0.9999420994576331,-0.07301690407396388
3,Comoe,Lasso,0.9988002661427077,-0.5872528989699082
0,Leraba,RandomForest,0.868166313101417,-25.74258731874687
1,Leraba,DecisionTree,1.0,-33.39818025852504
2,Leraba,RidgeCV,0.8251690642358784,-56.51621253551142
3,Leraba,Lasso,0.9954805988956499,-142.97013890676533
0,Boulgou,RandomForest,0.8467470332358864,-0.7189223523098767
1,Boulgou,DecisionTree,1.0,-2.051618696346583
2,Boulgou,RidgeCV,0.7433225241123655,-0.6759194260182659
3,Boulgou,Lasso,0.9908088523403106,-0.819524029571149
0,Koulpelogo,RandomForest,0.799008687171183,-0.9771185114812126
1,Koulpelogo,DecisionTree,1.0,-2.4146196284840027
2,Koulpelogo,RidgeCV,0.5992429267562833,-1.8283732701468045
3,Koulpelogo,Lasso,0.9865217301802044,-12.332024675287027
0,Kouritenga,RandomForest,0.8175654045784859,0.004146164221595194
1,Kouritenga,DecisionTree,1.0,0.10850406226891662
2,Kouritenga,RidgeCV,0.7646035423625378,-0.0740845131222505
3,Kouritenga,Lasso,0.9917349512596856,-0.7948402159289063
0,Bam,RandomForest,0.8302177708621257,-1.4997070177469265
1,Bam,DecisionTree,1.0,-5.02899612814872
2,Bam,RidgeCV,0.786251469550327,-2.179069308934905
3,Bam,Lasso,0.963243020490997,-2.8890187924643573
0,Namentenga,RandomForest,0.810623286763505,-0.49719000582094997
1,Namentenga,DecisionTree,1.0,-2.9150526004356263
2,Namentenga,RidgeCV,0.7316113113989289,-0.207825510105476
3,Namentenga,Lasso,0.9757719755757233,-0.724767367405265
0,Sanmatenga,RandomForest,0.9298389849868458,-16.24516842208701
1,Sanmatenga,DecisionTree,1.0,-37.14681671848331
2,Sanmatenga,RidgeCV,0.9999366123003599,-22.38076812447585
3,Sanmatenga,Lasso,0.994095248904325,-33.35186881460825
0,Boulkiemde,RandomForest,0.8505737819148176,-3.802750563810333
1,Boulkiemde,DecisionTree,1.0,-10.333519426690904
2,Boulkiemde,RidgeCV,0.9999241214627544,-5.930534298953705
3,Boulkiemde,Lasso,0.9940121467895568,-9.020252509657713
0,Sanguie,RandomForest,0.8489431814335381,0.10625145120645496
1,Sanguie,DecisionTree,1.0,0.033413308313112844
2,Sanguie,RidgeCV,0.9956792236481901,-0.14680930315411067
3,Sanguie,Lasso,0.9779953195759064,-0.011144815862789148
0,Sissili,RandomForest,0.8326275258903637,-0.30002060777590667
1,Sissili,DecisionTree,1.0,-4.464053724265579
2,Sissili,RidgeCV,0.7827176542811467,-1.5506373842311256
3,Sissili,Lasso,0.969992627218284,-18.793267792791408
0,Ziro,RandomForest,0.8513844199101042,-0.5314844163239432
1,Ziro,DecisionTree,1.0,-1.3588707708205
2,Ziro,RidgeCV,0.9999571759245036,-1.8717405941036187
3,Ziro,Lasso,0.9896151765746692,-2.5816459308195
0,Bazega,RandomForest,0.8540947271477385,-0.2904554508173849
1,Bazega,DecisionTree,1.0,-0.2252253061798497
2,Bazega,RidgeCV,0.9999308185383159,-0.18680982497644671
3,Bazega,Lasso,0.9862202155728406,-0.10228781433843159
0,Nahouri,RandomForest,0.8189263418616697,-0.8525646373292555
1,Nahouri,DecisionTree,1.0,-0.12784325154645804
2,Nahouri,RidgeCV,0.8129610431910002,-0.8815627939332986
3,Nahouri,Lasso,0.9752225578148878,-1.332428675837635
0,Zoundweogo,RandomForest,0.7953927934851158,-0.05949185352675568
1,Zoundweogo,DecisionTree,1.0,-0.3802371256278365
2,Zoundweogo,RidgeCV,0.7094149486886293,-0.08065518980559161
3,Zoundweogo,Lasso,0.9811128005692633,-0.0229941926976458
0,Kadiogo,RandomForest,0.9144404811309386,-0.21671663367246063
1,Kadiogo,DecisionTree,1.0,-0.4523176311819279
2,Kadiogo,RidgeCV,0.8913162073797397,0.3769751075398111
3,Kadiogo,Lasso,0.9840641299444663,0.5120467594009546
0,Gnagna,RandomForest,0.8585722439204353,-0.04859734121485815
1,Gnagna,DecisionTree,1.0,-1.2328258374121526
2,Gnagna,RidgeCV,0.9072777829441602,0.08611689014720825
3,Gnagna,Lasso,0.9923571187856614,-0.010364758373692107
0,Gourma,RandomForest,0.8234524654271294,-0.013643816428090094
1,Gourma,DecisionTree,1.0,0.2761857999874281
2,Gourma,RidgeCV,0.8600067648976469,-0.14145960898481325
3,Gourma,Lasso,0.9781720697774774,-0.33626382249623643
0,Komandjoari,RandomForest,0.7970372156341028,-1.5426823420330589
1,Komandjoari,DecisionTree,1.0,-6.404076316454588
2,Komandjoari,RidgeCV,0.6804735658681142,-2.057684497889046
3,Komandjoari,Lasso,0.971724249314716,-3.712208118507463
0,Kompienga,RandomForest,0.7988500634868926,-0.8575287123703224
1,Kompienga,DecisionTree,1.0,-2.102309502578976
2,Kompienga,RidgeCV,0.6889580437523182,-0.5646427806407539
3,Kompienga,Lasso,0.9632825457513249,-0.6402697399719479
0,Tapoa,RandomForest,0.8137178163620369,0.047971284541974524
1,Tapoa,DecisionTree,1.0,-0.641642289047005
2,Tapoa,RidgeCV,0.7016181883873698,0.06935903338567939
3,Tapoa,Lasso,0.9776501978784834,-0.12463012239746973
0,Houet,RandomForest,0.8352945868904256,-0.8636498811645243
1,Houet,DecisionTree,1.0,-3.408732094465716
2,Houet,RidgeCV,0.6766704789926217,-1.3318934075272715
3,Houet,Lasso,0.9857818139037203,-3.0534995171880945
0,Kenedougou,RandomForest,0.859523803758994,-0.05687890898685222
1,Kenedougou,DecisionTree,1.0,-1.5494867163434582
2,Kenedougou,RidgeCV,0.999956421257053,-0.6799695637370959
3,Kenedougou,Lasso,0.9924131932937468,-1.202944085830365
0,Tuy,RandomForest,0.850720502523771,-1.9053291757329478
1,Tuy,DecisionTree,1.0,-2.1795784124177975
2,Tuy,RidgeCV,0.8290947325329279,-1.5702653069519816
3,Tuy,Lasso,0.9897049899062771,-3.2315158450826447
0,Loroum,RandomForest,0.8602436270167297,-2.765838807750835
1,Loroum,DecisionTree,1.0,-2.693498922146505
2,Loroum,RidgeCV,0.8805823166761586,-5.6422795215588115
3,Loroum,Lasso,0.9814389492813788,-21.83339951971421
0,Passore,RandomForest,0.8119852611642226,-0.24074629148243964
1,Passore,DecisionTree,1.0,-3.7187412734397816
2,Passore,RidgeCV,0.7809550649169448,-0.7860253681870417
3,Passore,Lasso,0.9887618010955112,-4.674291156174235
0,Yatenga,RandomForest,0.8173778370132995,-0.5378423094811806
1,Yatenga,DecisionTree,1.0,-11.654529243831059
2,Yatenga,RidgeCV,0.999898879967907,-2.4957810388842008
3,Yatenga,Lasso,0.995114631955651,-2.645140191145857
0,Zondoma,RandomForest,0.8436806781242923,-3.5580825649478696
1,Zondoma,DecisionTree,1.0,-11.865302227233837
2,Zondoma,RidgeCV,0.6390088905504034,-3.134730879419208
3,Zondoma,Lasso,0.981843574849445,-50.895352773939464
0,Ganzourgou,RandomForest,0.8428927361964025,-0.19446976346615852
1,Ganzourgou,DecisionTree,1.0,-2.9347342365900375
2,Ganzourgou,RidgeCV,0.63966802533017,0.36899284842454505
3,Ganzourgou,Lasso,0.9405523460697002,0.880160888242066
0,Kourweogo,RandomForest,0.8430898417493052,-4.128573153623191
1,Kourweogo,DecisionTree,1.0,-9.922147475437331
2,Kourweogo,RidgeCV,0.8376805272608879,-5.419131751402111
3,Kourweogo,Lasso,0.9914153587768745,-7.962556901888137
0,Oubritenga,RandomForest,0.8071244226515999,-1.5257968295585256
1,Oubritenga,DecisionTree,1.0,-2.1264329719785766
2,Oubritenga,RidgeCV,0.7904773248947142,-1.387276708351783
3,Oubritenga,Lasso,0.9714648710538054,-2.298705049467782
0,Oudalan,RandomForest,0.8338281862881864,-1.772318722462971
1,Oudalan,DecisionTree,1.0,-7.532380407848901
2,Oudalan,RidgeCV,0.7997984466370388,-0.9241773870788106
3,Oudalan,Lasso,0.9797279404030582,-1.332894674950472
0,Seno,RandomForest,0.8206327156184998,-11.776604111811281
1,Seno,DecisionTree,1.0,-39.421004831167835
2,Seno,RidgeCV,0.6574741783294419,-6.997223429559292
3,Seno,Lasso,0.9933227691107387,-12.556755735312922
0,Soum,RandomForest,0.8080464474959417,-1.9431749388371595
1,Soum,DecisionTree,1.0,-2.403640402084344
2,Soum,RidgeCV,0.5916419021663268,-2.350835358597337
3,Soum,Lasso,0.9529865231440064,-2.930665518524214
0,Yagha,RandomForest,0.8395696481245364,-5.698998743292735
1,Yagha,DecisionTree,1.0,-17.804209667816295
2,Yagha,RidgeCV,0.7660405776497532,-19.368483845055987
3,Yagha,Lasso,0.9896174529506594,-49.274871952219286
0,Bougouriba,RandomForest,0.8824544858228108,0.17102450482288534
