,provinces,model,Score_train,score_test
2,Kadiogo,RidgeCV,0.7789523608907716,0.5985916518001303
3,Kadiogo,Lasso,0.9951502475738611,0.6531102727275195
0,Gnagna,RandomForest,0.8311459034870022,0.4309626360766776
1,Gnagna,DecisionTree,1.0,-0.0301360056359552
2,Gnagna,RidgeCV,0.8075133378863228,0.8209109502068151
3,Gnagna,Lasso,0.9985735716914003,-1.2537644047725989
0,Gourma,RandomForest,0.8523897172977573,0.07118547027813871
1,Gourma,DecisionTree,0.9999395160456368,-3.021257130162441
2,Gourma,RidgeCV,0.8386854202725925,0.13989146127570684
3,Gourma,Lasso,0.9961412063663058,-1.6088882740410027
0,Komandjoari,RandomForest,0.7608215421361737,0.0
1,Komandjoari,DecisionTree,1.0,0.0
2,Komandjoari,RidgeCV,0.8229046809389268,0.0
3,Komandjoari,Lasso,0.997656555656353,0.0
0,Kompienga,RandomForest,0.8426803103123077,-2.6831563658770916
1,Kompienga,DecisionTree,0.9985870785712239,-3.6819591313894966
2,Kompienga,RidgeCV,0.7965659183918063,-1.1160776864475728
3,Kompienga,Lasso,0.9934095559115762,-2.0376495436780435
0,Tapoa,RandomForest,0.923578705455245,-4.377249029908853
1,Tapoa,DecisionTree,0.999960466979603,-7.868254526438397
2,Tapoa,RidgeCV,0.9972149710490503,-3.216014230707552
3,Tapoa,Lasso,0.9995777212360185,-3.399514296640894
0,Houet,RandomForest,0.7890084829123742,-0.22981082280937337
1,Houet,DecisionTree,0.9983679791166244,0.4195677666208334
2,Houet,RidgeCV,0.7887628146259777,-0.5803536935996896
3,Houet,Lasso,0.9813817802874053,-2.5435710900448747
0,Kenedougou,RandomForest,0.8320154626495102,0.3051168022350291
1,Kenedougou,DecisionTree,0.9999115529231071,0.9151245825498149
2,Kenedougou,RidgeCV,0.7717733972794661,0.24604652650259462
3,Kenedougou,Lasso,0.9844445911092091,0.5511274788029537
0,Tuy,RandomForest,0.7989283499350592,-55.1804633003979
1,Tuy,DecisionTree,0.999794466669775,-23.804096748720458
2,Tuy,RidgeCV,0.7942006092066825,-35.09180271911595
3,Tuy,Lasso,0.9879453266795684,-87.94612187083852
0,Loroum,RandomForest,0.8620297936254984,-1.938714707076957
1,Loroum,DecisionTree,1.0,-7.556009129877374
2,Loroum,RidgeCV,0.6761318254761104,-0.9080794172988895
3,Loroum,Lasso,0.9987415721070222,-6.173778313054336
0,Passore,RandomForest,0.8391858034095135,0.5585987313995744
1,Passore,DecisionTree,1.0,0.9770709178782029
2,Passore,RidgeCV,0.8352931648794689,0.6353352082642285
3,Passore,Lasso,0.9977176203385627,-0.8800504509841536
0,Yatenga,RandomForest,1.0,1.0
1,Yatenga,DecisionTree,1.0,1.0
2,Yatenga,RidgeCV,1.0,1.0
3,Yatenga,Lasso,1.0,1.0
0,Zondoma,RandomForest,0.9166283980236977,-0.43059822396266
1,Zondoma,DecisionTree,1.0,-1.0
2,Zondoma,RidgeCV,0.9028228014093987,0.5986456676901174
3,Zondoma,Lasso,0.9981885757953178,-2.837747859776454
0,Ganzourgou,RandomForest,0.813459625006094,-0.4380870408235029
1,Ganzourgou,DecisionTree,0.9998306091396862,-1.268398220040496
2,Ganzourgou,RidgeCV,0.7354664891219076,-4.359190091495147
3,Ganzourgou,Lasso,0.99592415383657,-31.570451957546865
0,Kourweogo,RandomForest,0.8444394114252876,0.12175592787681278
1,Kourweogo,DecisionTree,0.9984645458689849,0.7467409569936393
2,Kourweogo,RidgeCV,0.7992642424099342,-0.3352812371740257
3,Kourweogo,Lasso,0.9886647861612315,0.9864916028411225
0,Oubritenga,RandomForest,0.8654536284414591,0.16781156740977576
1,Oubritenga,DecisionTree,1.0,-0.1549718376950442
2,Oubritenga,RidgeCV,0.9998537990479766,-1.3656453906961543
3,Oubritenga,Lasso,0.9979792543570215,-0.11212769364385489
0,Oudalan,RandomForest,0.7903251220604565,0.0
1,Oudalan,DecisionTree,1.0,0.0
2,Oudalan,RidgeCV,0.999886008712881,0.0
3,Oudalan,Lasso,0.9947478700540404,0.0
0,Seno,RandomForest,0.8141,0.0
1,Seno,DecisionTree,1.0,1.0
2,Seno,RidgeCV,0.7240051712341294,0.0
3,Seno,Lasso,0.9604130888043375,0.0
0,Soum,RandomForest,0.8469613639633073,-0.8305312369248381
1,Soum,DecisionTree,1.0,-1.0
2,Soum,RidgeCV,0.8041592450549852,-2.026324323171367
3,Soum,Lasso,0.9896458982636839,-1.6481611216866616
0,Yagha,RandomForest,0.8712185250991038,0.0
1,Yagha,DecisionTree,1.0,0.0
2,Yagha,RidgeCV,0.7377247015770094,0.0
3,Yagha,Lasso,0.9955855115949089,0.0
0,Bougouriba,RandomForest,0.8792259871453244,-5.214009231204651
1,Bougouriba,DecisionTree,0.9994913647928906,-2.8282717279584446
2,Bougouriba,RidgeCV,0.8819522112401796,-6.494737538797367
3,Bougouriba,Lasso,0.9901251396405548,-11.98216487742067
0,Ioba,RandomForest,0.8206903731549335,-1.0586633636547793
1,Ioba,DecisionTree,0.9998998722129314,0.03918383898019717
2,Ioba,RidgeCV,0.7526699544954204,-0.3887185091170129
3,Ioba,Lasso,0.9916738396213419,-4.812420790484077
0,Noumbiel,RandomForest,0.8045726984816299,0.13405480495814714
1,Noumbiel,DecisionTree,0.9984349301532532,0.2001673091865933
2,Noumbiel,RidgeCV,0.7345839809042694,-1.8609474576588974
3,Noumbiel,Lasso,0.996709592734995,-4.39377267037192
0,Poni,RandomForest,0.8207037645823958,-69.9843754117817
1,Poni,DecisionTree,1.0,-12.543810240048453
2,Poni,RidgeCV,0.8139922690088175,-132.734671706421
3,Poni,Lasso,0.9771305097444651,-212.25375807054414
