,provinces,model,Score_train,score_test
3,Sanguie,Lasso,0.9867980095883547,-0.10240366162740089
0,Sissili,RandomForest,0.8320068046761564,-0.20083876950380164
1,Sissili,DecisionTree,1.0,-1.3391726050996233
2,Sissili,RidgeCV,0.8336742916340338,-0.32857657664020046
3,Sissili,Lasso,0.9862805747232825,0.23654486700587551
0,Ziro,RandomForest,0.8416759526310799,-0.45653785070072583
1,Ziro,DecisionTree,0.9997529726776628,-0.7619254100523338
2,Ziro,RidgeCV,0.9023668116705942,-0.6845652957322608
3,Ziro,Lasso,0.9870869416917822,-0.6896414322050008
0,Bazega,RandomForest,0.8377946373944037,-0.2521442105188849
1,Bazega,DecisionTree,0.9999850457583201,-0.044876555496181636
2,Bazega,RidgeCV,0.9999527570670086,-0.3373274585092483
3,Bazega,Lasso,0.9936703657855741,-0.038498267368388905
0,Nahouri,RandomForest,0.8132002314384352,-0.922093875742025
1,Nahouri,DecisionTree,0.9927728192015587,-0.12294258199321129
2,Nahouri,RidgeCV,0.822863234350984,-1.0168628219484228
3,Nahouri,Lasso,0.9837158176511465,-1.2310623296150132
0,Zoundweogo,RandomForest,0.8126127098109273,-0.09681274732583578
1,Zoundweogo,DecisionTree,0.9985023470040648,-0.35403591138899393
2,Zoundweogo,RidgeCV,0.7704537303989343,-0.31265390547303595
3,Zoundweogo,Lasso,0.979519490729733,-0.7865660784099324
0,Kadiogo,RandomForest,0.9117431948977378,-0.20352892764978137
1,Kadiogo,DecisionTree,1.0,-0.42002640895854326
2,Kadiogo,RidgeCV,0.8964512078227855,0.3815360197698685
3,Kadiogo,Lasso,0.9863039824632057,0.3703793833455108
0,Gnagna,RandomForest,0.8500319685111049,0.02167510545100415
1,Gnagna,DecisionTree,1.0,-1.0750407717804675
2,Gnagna,RidgeCV,0.9962665634831316,0.2390284294483812
3,Gnagna,Lasso,0.9852651467485107,0.1352308427576263
0,Gourma,RandomForest,0.8325532902679151,-0.48817809218377106
1,Gourma,DecisionTree,0.9976019406261485,0.28577786304703257
2,Gourma,RidgeCV,0.8577745935286705,-0.1387279468201621
3,Gourma,Lasso,0.9910754058853498,-0.5368770468916142
0,Komandjoari,RandomForest,0.7977763055071964,-1.2353691657355164
1,Komandjoari,DecisionTree,0.9985664893065547,-2.1630632608215246
2,Komandjoari,RidgeCV,0.8315865087966121,-3.2300703185395854
3,Komandjoari,Lasso,0.9939553817661397,-3.930527370531016
0,Kompienga,RandomForest,0.7851455860806633,-0.5820956104599702
1,Kompienga,DecisionTree,0.9833529983141875,-0.050724835116077394
2,Kompienga,RidgeCV,0.7645704594397182,-0.49569403018215685
3,Kompienga,Lasso,0.9747061700138228,-0.8428735470686008
0,Tapoa,RandomForest,0.8476190177397485,-0.08886157328943134
1,Tapoa,DecisionTree,0.9998544068905264,-2.673032374917805
2,Tapoa,RidgeCV,0.8282992731363883,-0.12985479940557942
3,Tapoa,Lasso,0.9949399743639152,-0.05221765206123763
0,Houet,RandomForest,0.8098455084704701,-0.8686868509276795
1,Houet,DecisionTree,1.0,-3.438246697160361
2,Houet,RidgeCV,0.706383758789322,-1.563766933430637
3,Houet,Lasso,0.9894779048093916,-1.522736436719096
0,Kenedougou,RandomForest,0.8504832679296944,-0.13098654474084137
1,Kenedougou,DecisionTree,1.0,-2.5989190344145308
2,Kenedougou,RidgeCV,0.9150734244983403,0.2800051186732506
3,Kenedougou,Lasso,0.9909252415822228,-0.41436151921814557
0,Tuy,RandomForest,0.8587104938452722,-1.8284885383558178
1,Tuy,DecisionTree,0.9995394092633371,-3.3365107351343237
2,Tuy,RidgeCV,0.9999518358156282,-5.188167947799419
3,Tuy,Lasso,0.9900310416723676,-3.571260013480612
0,Loroum,RandomForest,0.8638390389822702,-2.113655575362707
1,Loroum,DecisionTree,0.9999272752516694,-11.551505829981174
2,Loroum,RidgeCV,0.8663827882427022,-3.5497789325515328
3,Loroum,Lasso,0.9862874956720831,-9.33086546947635
0,Passore,RandomForest,0.8044723827779132,-0.4336889831250115
1,Passore,DecisionTree,0.9999267088848754,-4.8291592891308746
2,Passore,RidgeCV,0.7731400306959656,-1.308837464254014
3,Passore,Lasso,0.990853848004573,-4.167754194115089
0,Yatenga,RandomForest,0.8359619308717936,-0.7756485020557069
1,Yatenga,DecisionTree,0.9990619668599696,-12.330650721969489
2,Yatenga,RidgeCV,0.9999052038687729,-4.821986392011854
3,Yatenga,Lasso,0.9960121979911484,-4.225049201777886
0,Zondoma,RandomForest,0.8487785457690586,-1.0021993807315575
1,Zondoma,DecisionTree,0.9987917946457715,-5.148804110885838
2,Zondoma,RidgeCV,0.6958677756335698,-1.7849516410320199
3,Zondoma,Lasso,0.9932867682517812,-10.907988765211744
0,Ganzourgou,RandomForest,0.8384797007287376,-0.013570268511677197
1,Ganzourgou,DecisionTree,0.9996382051437908,0.3292141306669423
2,Ganzourgou,RidgeCV,0.7494437326544061,0.5913326115057411
3,Ganzourgou,Lasso,0.9849791178061484,-0.09918599856661725
0,Kourweogo,RandomForest,0.8549199259126445,-2.7206372325094654
1,Kourweogo,DecisionTree,0.9991216468432502,-5.1669465003863175
2,Kourweogo,RidgeCV,0.8488045812555931,-4.817168479157203
3,Kourweogo,Lasso,0.9913847038567476,-5.101322111507055
0,Oubritenga,RandomForest,0.8293511189834434,-0.8894885014797544
1,Oubritenga,DecisionTree,1.0,-0.8420783020251701
2,Oubritenga,RidgeCV,0.863893958259297,-0.6970145584316709
3,Oubritenga,Lasso,0.9766751453143085,-0.10047204799743148
0,Oudalan,RandomForest,0.8281173790712957,-1.2188991914005878
1,Oudalan,DecisionTree,1.0,-3.0568044421457854
2,Oudalan,RidgeCV,0.7727600382638574,-0.6783940291364292
3,Oudalan,Lasso,0.9914865349005448,-2.0119599686446574
0,Seno,RandomForest,0.8211799246323574,-10.00638052014227
1,Seno,DecisionTree,0.9998252414700699,-1.3935142601379487
2,Seno,RidgeCV,0.6899792116196127,-4.748020986561874
3,Seno,Lasso,0.9966185423808077,-11.45539105552296
0,Soum,RandomForest,0.7995994130621376,-3.1786620691222165
1,Soum,DecisionTree,0.9999215530549311,-5.096689384954077
2,Soum,RidgeCV,0.5930965534263235,-2.8038162545966046
3,Soum,Lasso,0.9584885517296415,-9.244264346862462
0,Yagha,RandomForest,0.818808542711651,-4.536098209678669
1,Yagha,DecisionTree,0.9999805482907079,-13.774996209608675
2,Yagha,RidgeCV,0.7958037346711739,-18.311917288576606
3,Yagha,Lasso,0.9920086618000645,-75.48508479289949
0,Bougouriba,RandomForest,0.885322622693103,0.13783093742626684
1,Bougouriba,DecisionTree,1.0,-2.050323137051666
2,Bougouriba,RidgeCV,0.8327721943389087,-0.48014612532673695
3,Bougouriba,Lasso,0.9888810170670902,-1.7749271448873056
0,Ioba,RandomForest,0.8546703115419956,-1.2441299699730752
1,Ioba,DecisionTree,0.9999999965416768,-1.189465746474597
2,Ioba,RidgeCV,0.8858809422417431,-0.9876084893272008
3,Ioba,Lasso,0.9888050020856002,-2.6783492034343572
0,Noumbiel,RandomForest,0.8304805176285925,-3.2892665976159208
1,Noumbiel,DecisionTree,0.9991565041905562,-6.419781366956956
2,Noumbiel,RidgeCV,0.8680588068573828,-2.1776627378124456
3,Noumbiel,Lasso,0.9945613460425748,-0.7604547159555697
0,Poni,RandomForest,0.8533341669959092,-0.7091030123618922
1,Poni,DecisionTree,0.9996174749367637,-1.7108566409007824
2,Poni,RidgeCV,0.7847805040655617,-1.2630643268108126
3,Poni,Lasso,0.9963468981371416,-1.4944534530287745
