,provinces,model,Score_train,score_test
0,Bale,RandomForest,0.8400411704843027,-3.262013424199342
1,Bale,DecisionTree,0.999968811987594,-5.6534394566419035
2,Bale,RidgeCV,0.8690364726137147,-5.573787966874716
3,Bale,Lasso,0.9927983304688116,-3.328963295384751
0,Banwa,RandomForest,0.8066205874345462,-0.27219851380336957
1,Banwa,DecisionTree,0.9994740423211608,-1.7720439553746945
2,Banwa,RidgeCV,0.6968508365403998,0.056569518057586365
3,Banwa,Lasso,0.957069913976966,0.13666266738419075
0,Kossi,RandomForest,0.8886415624244721,0.5273664349579862
1,Kossi,DecisionTree,1.0,0.7109436851822465
2,Kossi,RidgeCV,0.8647482960048862,0.6402218978518202
3,Kossi,Lasso,0.9733366649986984,0.6095730105119821
0,Mouhoun,RandomForest,0.7775198653948224,-0.7915301546059326
1,Mouhoun,DecisionTree,0.9991664716350234,-0.3848212977323593
2,Mouhoun,RidgeCV,0.6822753881434158,-1.4098041873978384
3,Mouhoun,Lasso,0.9896673906750451,-3.127904610478935
0,Nayala,RandomForest,0.8360812441156474,-0.03611797217338686
1,Nayala,DecisionTree,1.0,-0.26279750251212675
2,Nayala,RidgeCV,0.7411190478493651,-0.08012793568307375
3,Nayala,Lasso,0.9752743978399558,-0.8066871016609214
0,Sourou,RandomForest,0.8649443328772621,-0.15414286053818516
1,Sourou,DecisionTree,1.0,-1.0129000435949922
2,Sourou,RidgeCV,0.8353032758004003,0.20332108389535175
3,Sourou,Lasso,0.997935643227959,-0.3713529638127746
0,Comoe,RandomForest,0.908269065437635,-0.0028081624315916542
1,Comoe,DecisionTree,0.9998643176341213,-0.2097999178826706
2,Comoe,RidgeCV,0.9195865422127965,-0.015517716820518501
3,Comoe,Lasso,0.9989890166745312,-0.3178924206674003
0,Leraba,RandomForest,0.8686203457994955,-23.445485286249408
1,Leraba,DecisionTree,0.9999349763553556,-35.146463197686444
2,Leraba,RidgeCV,0.9967054271329941,-137.5249748590567
3,Leraba,Lasso,0.9981886262457798,-278.44894592442154
0,Boulgou,RandomForest,0.8381391951150842,-0.669647617677483
1,Boulgou,DecisionTree,0.9999939684733479,-2.1832906870235367
2,Boulgou,RidgeCV,0.7821437255802074,-0.7625102649937479
3,Boulgou,Lasso,0.9918771206193684,-0.9137305084861778
0,Koulpelogo,RandomForest,0.8038149476344801,-1.1275866478522718
1,Koulpelogo,DecisionTree,0.9989910771824375,-1.4924841672957583
2,Koulpelogo,RidgeCV,0.6514950879853387,-1.404643006768282
3,Koulpelogo,Lasso,0.9941374339090134,-4.144324892042958
0,Kouritenga,RandomForest,0.8102076317561321,-0.08205838424887846
1,Kouritenga,DecisionTree,0.9999922731985347,-0.47640090554685277
2,Kouritenga,RidgeCV,0.9999077786762489,-0.4395410300866802
3,Kouritenga,Lasso,0.9937664670900408,-0.49813969091661625
0,Bam,RandomForest,0.8290446632133425,-1.4475931715339505
1,Bam,DecisionTree,0.9966208078343226,-4.411029027608583
2,Bam,RidgeCV,0.7891986334867296,-1.9561570885914827
3,Bam,Lasso,0.9840123402283565,-1.9425940649585267
0,Namentenga,RandomForest,0.8524655606672396,-0.5196628562065391
1,Namentenga,DecisionTree,0.9998685819909353,-1.3006780215516862
2,Namentenga,RidgeCV,0.9999274740585775,-1.2172020998426145
3,Namentenga,Lasso,0.9953096890963384,-1.5328247993938238
0,Sanmatenga,RandomForest,0.9208112813101584,-15.227832074763544
1,Sanmatenga,DecisionTree,1.0,-21.045892534982052
2,Sanmatenga,RidgeCV,0.8935617558685349,-12.285597123434918
3,Sanmatenga,Lasso,0.99649873111265,-28.017244884348173
0,Boulkiemde,RandomForest,0.848276813696542,-3.3099978302051625
1,Boulkiemde,DecisionTree,0.9975631085249143,-12.760290227364477
2,Boulkiemde,RidgeCV,0.9999244974576145,-8.478157346083401
3,Boulkiemde,Lasso,0.9926501731822317,-8.222666767387928
0,Sanguie,RandomForest,0.8399553275843047,0.11579176921742229
1,Sanguie,DecisionTree,0.9982297204286517,0.5971663179920645
2,Sanguie,RidgeCV,0.9999690664815368,-0.19310869201548275
